Comuna,Codigo comuna,Transacciones,Fecha
Cerrillos,13102.0,18365.0,2020-03-01
Cerrillos,13102.0,55826.0,2020-03-02
Cerrillos,13102.0,57927.0,2020-03-03
Cerrillos,13102.0,58642.0,2020-03-04
Cerrillos,13102.0,57773.0,2020-03-05
Cerrillos,13102.0,57326.0,2020-03-06
Cerrillos,13102.0,29666.0,2020-03-07
Cerrillos,13102.0,19883.0,2020-03-08
Cerrillos,13102.0,60293.0,2020-03-09
Cerrillos,13102.0,61450.0,2020-03-10
Cerrillos,13102.0,60547.0,2020-03-11
Cerrillos,13102.0,61458.0,2020-03-12
Cerrillos,13102.0,62167.0,2020-03-13
Cerrillos,13102.0,30464.0,2020-03-14
Cerrillos,13102.0,16669.0,2020-03-15
Cerrillos,13102.0,48593.0,2020-03-16
Cerrillos,13102.0,39270.0,2020-03-17
Cerrillos,13102.0,33879.0,2020-03-18
Cerrillos,13102.0,24759.0,2020-03-19
Cerrillos,13102.0,23396.0,2020-03-20
Cerrillos,13102.0,10052.0,2020-03-21
Cerrillos,13102.0,4779.0,2020-03-22
Cerrillos,13102.0,19327.0,2020-03-23
Cerrillos,13102.0,19602.0,2020-03-24
Cerrillos,13102.0,18712.0,2020-03-25
Cerrillos,13102.0,18887.0,2020-03-26
Cerrillos,13102.0,14527.0,2020-03-27
Cerrillos,13102.0,7276.0,2020-03-28
Cerrillos,13102.0,3587.0,2020-03-29
Cerrillos,13102.0,15576.0,2020-03-30
Cerrillos,13102.0,16258.0,2020-03-31
Cerrillos,13102.0,16007.0,2020-04-01
Cerrillos,13102.0,15386.0,2020-04-02
Cerrillos,13102.0,8114.0,2020-04-04
Cerrillos,13102.0,4184.0,2020-04-05
Cerrillos,13102.0,16593.0,2020-04-06
Cerrillos,13102.0,16028.0,2020-04-07
Cerrillos,13102.0,16377.0,2020-04-08
Cerrillos,13102.0,16153.0,2020-04-09
Cerrillos,13102.0,4463.0,2020-04-10
Cerrillos,13102.0,4660.0,2020-04-11
Cerrillos,13102.0,3010.0,2020-04-12
Cerrillos,13102.0,17551.0,2020-04-13
Cerrillos,13102.0,16817.0,2020-04-14
Cerrillos,13102.0,17228.0,2020-04-15
Cerrillos,13102.0,16888.0,2020-04-16
Cerrillos,13102.0,17716.0,2020-04-17
Cerrillos,13102.0,7861.0,2020-04-18
Cerrillos,13102.0,4387.0,2020-04-19
Cerrillos,13102.0,18882.0,2020-04-20
Cerrillos,13102.0,17959.0,2020-04-21
Cerrillos,13102.0,18202.0,2020-04-22
Cerrillos,13102.0,17822.0,2020-04-23
Cerrillos,13102.0,18335.0,2020-04-24
Cerrillos,13102.0,9313.0,2020-04-25
Cerrillos,13102.0,4572.0,2020-04-26
Cerrillos,13102.0,19040.0,2020-04-27
Cerrillos,13102.0,18502.0,2020-04-28
Cerrillos,13102.0,16175.0,2020-04-29
Cerrillos,13102.0,17685.0,2020-04-30
