Data from,https://www.queretaro.gob.mx/covid19/#programasN,,
,,,
Date of Policy,Brief Summary,Formal Name,Type of Policy
13/Mar/20,Creation of a committee for COVID-19 Response,Acuerdo que crea el Comité Técnico para la Atención del COVID-19.,State Executive Order
17/Mar/20,Schools classes are suspended,"Acuerdo por el que se suspenden las clases en las escuelas públicas y privadas de educación preescolar, primaria, secundaria, media superior, superior, normal y demás para la formación de maestros de educación básica incorporadas al sistema educativodel estado de Querétaro.",State Secretary of Education
18/Mar/20,Release of initial recommendations to the populace,Acuerdo de Recomendaciones Generales COVID-19,State Secretary of Health
19/Mar/20,Initial closures,Acuerdo de Medidas de Seguridad Sanitaria,State Security Council
20/Mar/20,Legislature implements the initial closures,"Acuerdo por el que se implementan Medidas de Seguridad y Control para el Desarrollo de actividades en las instalaciones del Poder Legislativo del Estado de Querétaro, durante la contingencia producida por el COVID-19 en la entidad.",State Legislature
20/Mar/20 - 31/Mar/20,Most state government agencies take initial measures. This continues over the next week and is replicated by the municipality,Multiple different acts,Various State and municipal Agencies
24/Mar/20,President issues decree establishing response measures,"Que el día 24 de Marzo de 2020 se publicó en el Diario Oficial de la Federación, el Decreto por el que se sanciona el Acuerdo por el que se establecen las medidas preventivas que se deberán implementar para la mitigación y control de los riesgos para la salud que implica la enfermedad por el virus SARS-CoV2 (COVID-19), emitido por el Presidente Constitucional de los Estados Unidos Mexicanos, de conformidad con el artículo 181, de la Ley General de Salud.",Federal Executive
31/Mar/20,"Governor releases increased restrictions, including ordering the halt of nonessential activities from 30 March to 30 May",Acuerdo de lineamientos y medidas a implementar por los servidores públicos de la Secretaría de Gobierno del Poder Ejecutivo del Estado de Querétaro para el desempeño de sus funciones en atención a la enfermedad COVID-19.,State Executive Order
31/Mar/20,President establishes extraordinary measures to respond to health crise,"Que en fecha 31 de marzo de 2020 fue publicado en el Diario Oficial de la Federación el Acuerdo por el que se establecen acciones extraordinarias para atender la emergencia sanitaria generada por el virus SARS-CoV2, por medio del cual se establecen una serie de acciones extraordinarias, para atender la emergencia sanitaria generada por el virus SARS-CoV2, que los sectores público, social y privado deberán implementar.",Federal Executive
01/Apr/20 - 7/Apr/20,State agencies all extend and update their policies,Multiple different acts,Various State Agencies
15/Apr/20,Emergency Call Center Established,"Acuerdo por el que se habilitan las instalaciones del Edificio ""Nuqleo"", como la Sede del Centro de Llamadas para la Atención Médica y Emocional en el Estado de Querétaro, durante el periodo de emergencia para la ejecución de acciones tendientes a informar a la población sobre los síntomas físicos y psicológicos relacionados con la contingencia sanitaria del COVID-19, resolver sus dudas y hacer la derivación correspondiente.",State Secretary of Health
21/Apr/20,Federal government extends closures through the end of May,"Que en fecha 21 de abril de 2020, fue publicado en el Diario Oficial de la Federación, el Acuerdo por el que se modifica el similar por el que se establecen acciones extraordinarias para atender la emergencia sanitaria generada por el virus SARS CoV2, publicado el 31 de marzo de 2020, en cuyo Artículo Primero se modifica la fracción I, del artículo Primero del Acuerdo en mención, ordenando la suspensión inmediata, del 30 de marzo al 30 de mayo de 2020, de las actividades no esenciales, con la finalidad de mitigar la dispersión y transmisión del virus SARS-CoV2 en la comunidad, para disminuir la carga de enfermedad, sus complicaciones y la muerte por COVID-19 en la población residente en el territorio nacional",
22/Apr/20 - 24/Apr/20,State agencies all extend and update their policies,Multiple different acts,Various State Agencies
30/Apr/20,Governor's office releases a new round of circulars,Multiple different acts,Secretary of the Governor
30/Apr/20,State agencies all extend and update their policies,Multiple different acts,Various State Agencies
1/May/20,Governor extends the March 30 closures through the end of May,"Acuerdo por el que se modifica el artículo primero del similar por el que se establecen lineamientos y medidas a implementar por los servidores públicos de la Secretaría de Gobierno del Poder Ejecutivo del Estado de Querétaro para el desempeño de sus funciones en atención a la enfermedad COVID19, de fecha 31 de marzo de 2020.",State Executive Order
14/May/20,Federal government establishes polices towards re-opening,"Que en fecha 14 de mayo de 2020, fue publicado en el Diario Oficial de la Federación Acuerdo por el que se establece una estrategia para la reapertura de las actividades sociales, educativas y económicas, así como un sistema de semáforo por regiones para evaluar semanalmente el riesgo epidemiológico relacionado con la reapertura de actividades en cada entidad federativa, así como se establecen acciones extraordinarias, mismo que tiene por objeto establecer una estrategia para la reapertura de las actividades sociales, educativas y económicas, así como un sistema de semáforo por regiones para evaluar semanalmente el riesgo epidemiológico relacionado con la reapertura de actividades en cada entidad federativa, así como establecer acciones extraordinarias.6",Federal Executive
1/June/20,Governor extends the March 30 closures through to June 15,"Acuerdo por el que se modifica el primer párrafo y se adiciona un segundo párrafo al artículo primero del similar por el que se establecen lineamientos y medidas a implementar por los servidores públicos de la Secretaría de Gobierno del Poder Ejecutivo del Estado de Querétaro para el desempeño de sus funciones en atención a la enfermedad COVID-19, de fecha 31 de marzo de 2020, modificado en fecha 1 de mayo de 2020.",State Executive Order
16/June/20,"Secretary of Health establishes a four stage reopening policy (red, orange, yellow, green)","Acuerdo por el que se establecen las medidas sanitarias permanentes para la realización de las actividades económicas, productivas y sociales en el Estado de Querétaro, durante la emergencia sanitaria de la enfermedad COVID-19.",State Secretary of Health
