Date,Ships in Luanda Bay,Ships in Offshore Area,Ships in Lobito Bay,Closure Policy,Policy Number,Confirmed,Deaths,Recoveries,Measured Current Infected,Death likelihood,Susceptible Population,True Infected,True Infection Rate,Measured Infection Rate,nat_retail_recreation_mob,nat_grocery__pharmacy_mob,nat_parks_mob,nat_transit_mob,nat_workplaces_mob,nat_residential_mob,loc_retail_recreation_mob,loc_grocery__pharmacy_mob,loc_parks_mob,loc_transit_mob,loc_workplaces_mob,loc_residential_mob,,Luanda City Nighttime Radiance,ZEE Nighttime Radiance,SO2_PercentChange_HuamboCity,SO2_PercentChange_LuandaCity,SO2_PercentChange_ZEE,NO2_PercentChange_HuamboCity,NO2_PercentChange_LuandaCity,NO2_PercentChange_ZEE
01/10/20,37,29,6,No Closures,10,0,0,0,0,,33467077,2.4763585820118,0,0,,,,,,,,,,,,,,41.32,7.022,,,,,,
01/11/20,,,,,10,0,0,0,0,,33467077,0.8211388701501,-1.6552197118617,0,,,,,,,,,,,,,,,,,,,,,
01/12/20,,,,,10,0,0,0,0,,33467077,0.445952632109549,-0.375186238040551,0,,,,,,,,,,,,,,,,,,,,,
01/13/20,,,,,10,0,0,0,0,,33467077,0.473353886788358,0.027401254678809,0,,,,,,,,,,,,,,,,,,,,,
01/14/20,,,,,10,0,0,0,0,,33467077,1.05394480647686,0.580590919688505,0,,,,,,,,,,,,,,,,,,,,,
01/15/20,,,,,10,0,0,0,0,,33467077,2.05337648716791,0.999431680691052,0,,,,,,,,,,,,,,,,,,,,,
01/16/20,,,,,10,0,0,0,0,,33467077,1.44204672350504,-0.611329763662874,0,,,,,,,,,,,,,,,,,,,,,
01/17/20,,,,,10,0,0,0,0,,33467077,1.12305276567019,-0.318993957834852,0,,,,,,,,,,,,,,,,,,,,,
01/18/20,,,,,10,0,0,0,0,,33467077,1.76728461605349,0.644231850383303,0,,,,,,,,,,,,,,,,,,,,,
01/19/20,,,,,10,0,0,0,0,,33467077,1.98193674374999,0.214652127696497,0,,,,,,,,,,,,,,,,,,,,,
01/20/20,,,,,10,0,0,0,0,,33467077,1.08512425917309,-0.896812484576904,0,,,,,,,,,,,,,,,,,,,,,
01/21/20,,,,,10,0,0,0,0,,33467077,2.91460017227168,1.8294759130986,0,,,,,,,,,,,,,,,,,,,,,
01/22/20,37,28,6,No Closures,10,0,0,0,0,,33467077,1.21354786468903,-1.70105230758266,0,,,,,,,,,,,,,,,,,,,,,
01/23/20,,,,,10,0,0,0,0,,33467077,1.05486153782779,-0.158686326861238,0,,,,,,,,,,,,,,,,,,,,,
01/24/20,,,,,10,0,0,0,0,,33467077,2.17496857864529,1.1201070408175,0,,,,,,,,,,,,,,,,,,,,,
01/25/20,,,,,10,0,0,0,0,,33467077,1.28109462660107,-0.893873952044217,0,,,,,,,,,,,,,,,,,,,,,
01/26/20,,,,,10,0,0,0,0,,33467077,1.83138431111216,0.550289684511093,0,,,,,,,,,,,,,,,,,,,,,
01/27/20,,,,,10,0,0,0,0,,33467077,1.83050176630679,-0.00088254480537,0,,,,,,,,,,,,,,,,,,,,,
01/28/20,,,,,10,0,0,0,0,,33467077,1.53311301342289,-0.297388752883908,0,,,,,,,,,,,,,,,,,,,,,
01/29/20,,,,,10,0,0,0,0,,33467077,2.05169312765662,0.518580114233731,0,,,,,,,,,,,,,,,,,,,,,
01/30/20,,,,,10,0,0,0,0,,33467077,2.16221656948326,0.110523441826647,0,,,,,,,,,,,,,,,,,,,,,
01/31/20,,,,,10,0,0,0,0,,33467077,1.36698473966248,-0.795231829820788,0,,,,,,,,,,,,,,,,,,,,,
02/01/20,,,,,10,0,0,0,0,,33467077,1.96084029847036,0.593855558807882,0,,,,,,,,,,,,,,44.919,7.965,,,,,,
02/02/20,,,,,10,0,0,0,0,,33467077,1.31324590754523,-0.647594390925127,0,,,,,,,,,,,,,,,,,,,,,
02/03/20,24,28,6,No Closures,10,0,0,0,0,,33467077,1.2613742785881,-0.05187162895713,0,,,,,,,,,,,,,,,,,,,,,
02/04/20,,,,,10,0,0,0,0,,33467077,1.4451191393239,0.183744860735796,0,,,,,,,,,,,,,,,,,,,,,
02/05/20,,,,,10,0,0,0,0,,33467077,1.86413199984442,0.419012860520525,0,,,,,,,,,,,,,,,,,,,,,
02/06/20,,,,,10,0,0,0,0,,33467077,2.38786656962282,0.523734569778395,0,,,,,,,,,,,,,,,,,,,,,
02/07/20,,,,,10,0,0,0,0,,33467077,1.45608193725917,-0.931784632363651,0,,,,,,,,,,,,,,,,,,,,,
02/08/20,,,,,10,0,0,0,0,,33467077,1.29769338579424,-0.158388551464929,0,,,,,,,,,,,,,,,,,,,,,
02/09/20,,,,,10,0,0,0,0,,33467077,2.36210976396101,1.06441637816677,0,,,,,,,,,,,,,,,,,,,,,
02/10/20,,,,,10,0,0,0,0,,33467077,1.3872375235656,-0.974872240395414,0,,,,,,,,,,,,,,,,,,,,,
02/11/20,,,,,10,0,0,0,0,,33467077,1.9431644573741,0.555926933808507,0,,,,,,,,,,,,,,,,,,,,,
02/12/20,,,,,10,0,0,0,0,,33467077,2.32237350220002,0.379209044825921,0,,,,,,,,,,,,,,,,,,,,,
02/13/20,,,,,10,0,0,0,0,,33467077,2.10912175210293,-0.21325175009709,0,,,,,,,,,,,,,,,,,,,,,
02/14/20,,,,,10,0,0,0,0,,33467077,1.50309434360482,-0.606027408498112,0,,,,,,,,,,,,,,,,,,,,,
02/15/20,34,29,6,No Closures,10,0,0,0,0,,33467077,1.91105830167891,0.407963958074089,0,3,-2,7,3,2,1,0,-2,3,0,1,1,,,,,,,,,
02/16/20,,,,,10,0,0,0,0,,33467077,1.51269815572725,-0.398360145951661,0,-4,0,-11,1,-5,2,-6,0,-20,-2,-7,2,,,,,,,,,
02/17/20,,,,,10,0,0,0,0,,33467077,1.14253852604468,-0.370159629682574,0,-6,-4,2,-3,5,0,-7,-3,1,-3,4,0,,,,,,,,,
02/18/20,,,,,10,0,0,0,0,,33467077,2.00797024539995,0.865431719355271,0,-3,-4,-4,-1,5,-1,-4,-3,-6,-1,5,-1,,,,,,,,,
02/19/20,,,,,10,0,0,0,0,,33467077,1.23705072682901,-0.770919518570935,0,-10,-12,-3,-7,4,1,-10,-12,-4,-8,3,1,,,,,,,,,
02/20/20,,,,,10,0,0,0,0,,33467077,2.5459091275679,1.30885840073889,0,-4,-5,0,-3,4,-1,-4,-2,-3,-4,3,-1,,,,,,,,,
02/21/20,,,,,10,0,0,0,0,,33467077,2.6894432147213,0.143534087153397,0,-2,-1,3,0,5,0,-4,-1,-1,-1,5,0,,,,,,,,,
02/22/20,,,,,10,0,0,0,0,,33467077,1.53034260453524,-1.15910061018606,0,0,2,14,4,-1,0,-5,-1,4,-2,-2,0,,,,,,,,,
02/23/20,,,,,10,0,0,0,0,,33467077,2.7996805896329,1.26933798509766,0,-1,2,5,-8,-6,1,-6,0,-13,-13,-8,1,,,,,,,,,
02/24/20,,,,,10,0,0,0,0,,33467077,1.71719864839366,-1.08248194123924,0,-9,-8,3,-25,-63,12,-9,-8,-4,-24,-66,13,,,,,,,,,
02/25/20,,,,,10,0,0,0,0,,33467077,1.4083190809861,-0.308879567407557,0,-17,-20,-12,-28,-69,13,-17,-17,-28,-23,-72,14,,,,,,,,,
02/26/20,,,,,10,0,0,0,0,,33467077,1.67319478141604,0.264875700429941,0,-3,-3,-2,-7,2,-1,-4,-4,-10,-9,2,-1,,,,,,,,,
02/27/20,27,28,6,No Closures,10,0,0,0,0,,33467077,2.75351663190583,1.08032185048979,0,2,3,5,-3,4,-1,0,5,10,-5,3,-1,,,,,,,,,
02/28/20,,,,,10,0,0,0,0,,33467077,1.23799945339294,-1.51551717851289,0,6,7,8,0,4,0,3,8,7,-5,3,0,,,,,,,,,
02/29/20,,,,,10,0,0,0,0,,33467077,1.04885976455993,-0.189139688833003,0,7,10,9,4,5,0,3,7,6,1,3,0,,,,,,,,,
03/01/20,,,,,10,0,0,0,0,,33467077,1.90538784178201,0.856528077222077,0,5,16,-1,6,5,0,1,14,-8,1,1,1,,47.62,7.721,-1.063767262,-0.982151252,-1.237822467,-0.107006863,-0.117256543,-0.148212391
