Nombre de estacion,Arica,Alto_Hospicio,Antofagasta,Copiapó,Huasco,Coquimbo,La_Serena,Concón,Valparaíso,Viña_del_Mar,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Rancagua_I,Rancagua_II,Rengo,San_Fernando,Curicó,Talca_La_Florida,UC_Maule,U_Talca,Linares,Nielol,Las_Encinas,Padre_las_Casas,Valdivia,Valdivia_II,Osorno,Mirasol,Alerce,Coyhaique_I,Coyhaique_II,Punta_Arenas,La_Unión,Vialidad
Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Atacama,Coquimbo,Coquimbo,Valparaíso,Valparaíso,Valparaíso,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Maule,Araucanía,Araucanía,Araucanía,Los Ríos,Los Ríos,Los Lagos,Los Lagos,Los Lagos,Aysén,Aysén,Magallanes,Los Ríos,Aysén
Codigo region,15,1,2,3,3,4,4,5,5,5,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,7,7,7,7,7,9,9,9,14,14,10,10,10,11,11,12,14,11
Comuna,Arica,Alto Hospicio,Antofagasta,Copiapo,Huasco,Coquimbo,Coquimbo,Concon,Valparaiso,Vina del mar,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Rancagua,Rancagua,Rengo,San Fernando,Curico,Talca,Talca,Talca,Talca,Temuco,Temuco,Padre las Casas,Valdivia,Valdivia,Osorno,Puerto Montt,Puerto Montt,Coyhaique,Coyhaique,Punta Arenas,La Union,Aysen
Codigo comuna,15101,1107,2101,3101,3304,4102,4102,5103,5101,5109,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,6101,6101,6115,6301,7301,7101,7101,7101,7101,9101,9101,9112,14101,14101,10301,10101,10101,11101,11101,12101,14201,11201
UTM_Este,363747,385118,358874,369133,282682,274609,282211,264737,255891,261803,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,342015,339842,329665,317503,296068,256889,262216,260878,265805,710378,706767,708625,651593,649060,659217,669585,675585,729281,730152,371526,663446,680977
UTM_Norte,7955831,7755989,7387875,6971887,6848727,6682171,6687896,6354228,6340183,6343569,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6218523,6220527,6192542,6171746,6127456,6075395,6075477,6078683,6031030,5710745,5708420,5706593,5589460,5592376,5505665,5406017,5414803,4948421,4948488,4108390,5538659,4969547
2020-01-01 14:00:00,,,,,,,,,,,,,,,,,,,0.17275,,,0.492539,,,,,0.1,,,,,0.1,0.1,,,,,,,0.723552,,,
2020-01-01 15:00:00,,,,,,,,,,,,,,,,,,,0.177,,,0.503161,,,,,0.1,,,,,0.1,0.1,,,,,,,0.760889,,,
2020-01-01 16:00:00,,,,,,,,,,,,,,,,,,,0.169,,,0.455861,,,,,0.1,,,,,0.1,0.1,,,,,,,0.74107,,,
2020-01-01 17:00:00,,,,,,,,,,,,,,,,,,,0.16475,,,0.412709,,,,,0.1,,,,,0.1,0.1,,,,,,,0.735065,,,
