Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2010-05-13,5,2,0,0,0,0,1,1,2,0,0,0,0,0,1,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1,1,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,7,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,2,1,0,0,1,0,0,0,1,0,0,0,2,0,20,0,0,1,0,2,5,0,4,0,0,0,1,7,0,2,0,0,1,2,3,0,10,0,5,2,4,1,1,4,1,0,5,0,2,12,2,1,2,4,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,5,0,0,2,0,2,1,6,1,8,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010-05-14,7,1,0,0,0,0,0,0,8,0,0,0,0,0,1,2,1,0,1,0,0,2,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,14,1,1,0,0,2,0,1,1,1,6,1,0,1,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,12,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,1,1,1,0,3,0,1,2,27,0,1,5,4,0,1,0,6,0,0,0,1,2,0,2,0,0,2,0,5,0,6,0,8,2,3,4,0,2,2,1,3,0,2,18,3,1,2,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,7,0,1,3,0,2,0,3,0,9,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,13,0,1,2,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,3,3,5,1,1,0,0,5,0,0,0,0,1,6,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,12,0,0,4,1,0,2,0,4,0,1,0,2,5,0,3,0,0,1,0,4,0,4,1,3,2,0,2,0,1,1,1,1,0,1,12,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-17,10,2,0,1,0,0,0,1,10,0,0,0,0,0,2,3,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,19,1,3,1,1,1,2,2,1,0,15,0,5,0,0,1,0,1,2,0,0,0,10,0,2,1,2,0,0,0,6,0,0,8,0,0,4,0,0,0,3,2,0,0,1,1,0,1,0,0,0,2,0,1,0,2,1,1,0,3,1,0,2,0,0,0,1,18,0,1,2,3,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,1,2,0,1,3,1,4,0,0,0,1,1,0,0,0,0,1,2,1,9,0,12,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,2,2,3,10,0,1,0,0,7,4,1,1,4,1,6,0,0,0,12,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,9,1,0,1,0,0,3,0,1,4,1,2,2,5,0,2,0,30,0,3,2,1,3,2,0,4,1,1,0,2,3,0,6,1,0,4,3,3,0,11,0,4,2,2,2,1,7,2,0,6,0,1,16,4,0,1,0,1,0,0,0,9,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,2,2,1,0,0,0,0,1,1,9,0,1,8,1,5,0,16,6,15,0,0,6,1,0,0,0,1,1,1,1,0,0,0,0,6,0,1,1,0,0,1
2010-05-18,11,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,2,0,1,1,1,1,3,0,0,6,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,6,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,2,1,0,2,0,1,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,13,0,0,1,2,1,0,1,6,0,1,0,0,3,0,5,0,0,2,1,6,0,10,1,5,0,2,3,0,2,0,3,5,0,1,9,4,0,3,2,0,0,0,1,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,5,1,0,0,2,0,1,0,9,1,13,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-05-19,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,7,0,2,1,1,1,0,0,0,1,3,2,1,0,0,1,0,0,1,0,0,0,8,0,1,0,0,0,0,0,3,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,11,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,0,1,2,0,2,0,2,1,18,0,0,3,1,2,2,0,4,0,0,0,0,3,0,4,0,0,1,2,2,0,8,2,5,1,3,2,0,4,0,1,3,0,4,7,0,0,0,4,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,2,0,9,1,4,0,1,6,0,0,0,1,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0
2010-05-20,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,1,0,0,0,4,0,2,0,0,1,0,0,9,0,0,4,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,1,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,6,1,0,0,1,1,1,0,2,1,1,0,0,0,0,1,0,0,2,0,0,3,0,6,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,1,6,0,0,0,0,5,1,0,0,1,0,5,0,0,0,5,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,0,2,1,0,1,0,0,3,1,16,0,1,1,3,0,3,1,6,0,1,2,1,2,0,2,0,2,1,2,2,0,11,0,7,0,3,1,0,2,0,0,10,0,5,6,5,0,2,2,1,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,3,2,0,0,1,0,1,1,6,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2010-05-21,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,0,0,1,0,0,6,0,1,1,2,2,4,0,2,0,0,1,2,3,0,2,0,1,3,1,0,1,7,0,5,0,4,3,0,1,0,0,6,0,2,8,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
2010-05-22,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,4,0,11,0,4,3,0,0,4,1,5,0,2,0,1,2,0,0,0,0,1,2,2,0,8,1,3,0,1,3,0,1,0,1,5,0,1,9,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,19,0,1,1,0,2,1,0,0,0,0,0,2,0,0,0,0,2,2,0,1,0,6,0,4,2,2,2,0,3,1,0,4,0,1,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-24,6,4,0,0,0,0,1,2,6,0,0,0,0,1,1,5,0,0,0,0,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,4,16,0,7,1,0,1,0,3,2,0,9,1,2,2,1,0,0,0,2,0,0,1,2,0,4,1,1,0,0,0,10,2,0,10,1,2,5,0,0,1,0,2,3,2,0,2,0,3,0,1,0,0,1,2,1,0,0,0,0,3,0,0,2,0,2,1,1,26,0,0,3,2,1,1,1,0,0,1,1,0,2,0,2,0,0,0,1,1,0,1,2,0,2,0,0,3,0,0,0,0,19,2,2,5,2,3,0,0,3,0,1,0,0,0,0,0,0,0,2,1,1,14,1,12,0,2,0,0,1,1,2,0,0,1,1,1,1,0,1,0,2,0,2,0,2,4,2,7,0,0,0,0,7,2,0,1,1,1,10,0,0,0,7,1,2,1,4,0,0,0,0,0,1,0,1,4,1,0,17,3,1,0,0,0,3,0,2,2,1,1,0,1,0,1,0,37,0,1,4,1,0,4,1,7,1,3,1,3,6,0,8,0,1,0,1,5,1,8,1,13,1,4,4,0,11,2,1,8,0,1,12,2,1,0,2,0,0,0,0,6,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,9,7,0,0,8,0,2,1,40,5,24,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0,4,0,2,1,0,0,0
2010-05-25,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,2,1,4,0,1,0,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,2,0,0,6,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,14,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,3,5,2,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,1,1,2,0,2,1,1,0,19,1,1,3,3,0,1,0,2,0,1,1,2,2,0,2,0,0,0,0,3,0,7,1,6,0,1,2,3,4,1,2,7,0,1,11,1,0,3,3,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,2,0,0,3,0,3,0,10,2,9,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
2010-05-26,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,1,0,0,0,1,0,5,1,1,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,3,1,0,4,0,1,1,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,5,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,2,0,1,0,0,6,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,7,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,21,0,0,2,0,4,0,0,2,0,1,1,1,7,0,2,0,0,1,0,3,0,5,2,8,0,1,2,1,6,0,1,6,0,3,11,0,0,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,3,1,0,2,0,0,0,6,0,10,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-27,5,2,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,0,1,1,0,1,0,0,2,0,5,1,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,1,0,0,3,0,0,7,0,0,5,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,8,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,9,0,1,3,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,4,6,0,1,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,5,1,0,0,0,0,2,0,0,3,0,1,0,0,0,3,0,7,0,1,6,1,1,1,0,6,0,4,2,1,3,0,1,0,0,1,1,2,0,11,2,6,1,2,2,3,8,2,0,9,0,1,12,2,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,2,1,0,3,0,1,0,7,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-28,11,3,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,1,0,1,0,0,9,1,0,1,0,0,0,0,1,0,1,0,6,0,2,0,0,1,1,0,2,0,0,4,2,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,5,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,3,0,0,1,0,3,0,1,1,0,1,15,0,3,3,0,1,3,1,4,0,0,0,1,3,0,1,0,0,2,0,6,0,6,2,11,2,3,3,0,5,0,0,8,0,3,15,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,4,0,1,3,0,1,1,15,3,8,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
