Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21
,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,3,5,4,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,1,6,2,0
Valparaiso,05,Calle Larga,05302,16482,0,0,0,0,0,0,0,2,3,1,0,3,2,1,0
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,3,5,5,8,0,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,1,0,1,1,0,0,0,8,2,0
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,2,6,1,1,0,9,6,6,6,0
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,10,0,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,6,1,0
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,6,6,1,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,19,5,0
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,3,6,0
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,6,15,5,0
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,3,3,0
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,3,7,3,6,1,5,3,14,5,0
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,4,5,11,18,35,9,0
Valparaiso,05,Quintero,05107,36135,0,0,0,0,0,3,1,0,0,5,2,2,13,3,0
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,5,14,10,22,36,64,48,26,0
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,5,1,0
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,0,2,4,13,11,0
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,1,5,11,1,0,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,1,0,6,4,4,4,4,4,4,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,10,15,12,17,14,28,77,90,34,0
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,3,3,0,1,6,23,22,11,0
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,1,6,21,27,21,12,18,20,66,99,36,0
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Total,,1960170,0,0,0,5,15,71,102,96,81,99,154,331,450,182,0
,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,4,17,8,14,15,18,54,94,34,0
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,5,8,3,0
Metropolitana,13,Cerrillos,13102,88956,0,0,0,1,2,4,10,13,19,20,64,195,124,33,0
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,0,9,12,12,12,36,40,78,161,146,35,0
Metropolitana,13,Colina,13301,180353,0,0,0,4,6,27,15,18,16,18,29,77,190,90,0
Metropolitana,13,Conchali,13104,139195,0,0,0,0,1,15,12,17,32,62,105,191,204,69,0
Metropolitana,13,Curacavi,13503,36430,0,0,0,0,1,2,4,4,4,0,5,17,32,14,0
Metropolitana,13,El Bosque,13105,172000,0,0,0,0,2,14,21,27,45,44,78,182,257,58,0
Metropolitana,13,El Monte,13602,40014,0,0,0,0,0,1,1,6,4,1,8,12,14,5,0
Metropolitana,13,Estacion Central,13106,206792,0,0,0,1,2,11,27,33,38,77,162,297,347,104,1
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,4,19,7,16,17,29,40,119,129,33,0
Metropolitana,13,Independencia,13108,142065,0,0,0,1,3,14,9,22,44,140,282,391,325,98,1
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,3,6,4,3,0
Metropolitana,13,La Cisterna,13109,100434,0,0,0,0,0,10,11,15,18,23,54,99,146,51,0
Metropolitana,13,La Florida,13110,402433,0,0,0,2,12,28,56,57,63,92,168,438,710,260,1
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,6,13,28,20,15,61,173,360,123,0
Metropolitana,13,La Pintana,13112,189335,0,0,0,0,3,8,17,27,43,82,138,218,406,125,0
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,14,12,15,7,10,36,64,81,43,0
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,8,13,14,11,17,38,76,100,29,0
Metropolitana,13,Las Condes,13114,330759,0,1,0,19,59,121,65,37,30,25,64,199,338,126,0
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,52,28,16,34,34,63,121,154,58,0
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,4,7,22,26,21,53,113,232,46,0
Metropolitana,13,Lo Prado,13117,104403,0,0,0,1,2,5,19,13,20,29,94,120,98,34,0
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,15,21,17,12,20,75,156,262,89,0
Metropolitana,13,Maipu,13119,578605,0,0,0,0,13,46,67,74,75,110,126,264,436,136,0
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,4,5,5,8,21,30,56,52,14,0
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,52,37,46,45,63,62,120,249,89,0
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,9,5,11,7,15,39,30,13,0
Metropolitana,13,Paine,13404,82766,0,0,0,1,1,2,0,3,5,3,5,24,63,19,0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,3,4,14,23,44,32,70,138,257,72,0
Metropolitana,13,Penaflor,13605,101058,0,0,0,1,4,3,9,5,7,14,24,33,41,14,0
Metropolitana,13,Penalolen,13122,266798,0,0,0,3,9,25,34,37,50,63,117,330,611,190,0
Metropolitana,13,Pirque,13202,30433,0,0,0,0,3,1,3,1,5,3,15,27,35,14,0
Metropolitana,13,Providencia,13123,157749,0,0,0,3,29,62,20,21,30,31,33,86,152,53,0
Metropolitana,13,Pudahuel,13124,253139,0,0,0,1,2,19,23,31,35,39,121,196,222,55,0
Metropolitana,13,Puente Alto,13201,645909,0,0,1,2,7,55,95,157,180,246,255,606,855,321,0
Metropolitana,13,Quilicura,13125,254694,0,0,0,4,3,20,24,42,40,127,259,363,233,78,0
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,4,13,24,35,47,47,90,177,147,41,0
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,5,15,18,31,46,102,258,482,441,117,1
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,11,7,30,62,100,177,167,40,0
Metropolitana,13,San Bernardo,13401,334836,0,0,0,2,6,20,36,65,71,118,140,264,412,113,0
Metropolitana,13,San Joaquin,13129,103485,0,0,0,0,1,14,22,14,37,38,76,195,378,129,0
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,2,1,4,19,31,11,0
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,24,21,25,43,43,68,138,227,73,0
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,9,5,2,0,0
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,4,11,9,11,40,87,190,297,69,0
Metropolitana,13,Santiago,13101,503147,0,0,2,2,28,94,94,133,154,164,340,749,990,211,0
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,7,7,4,10,7,28,29,9,0
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,1,3,3,8,3,0
Metropolitana,13,Vitacura,13132,96774,0,1,0,7,31,46,29,13,5,5,13,50,112,59,0
Metropolitana,13,Total,,8125072,0,2,4,63,323,942,1017,1237,1543,2211,4046,8243,11240,3506,4
,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,0,4,8,1,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,4,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,1,1,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,3,7,1,0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,7,1,0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,0,0,0,8,4,6,3,8,10,23,61,47,0
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,3,5,2,6,3,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,4,1,0
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,1,0,2,5,2,0
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,2,13,3,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,0,0,1,20,15,10,10,18,43,56,163,87,0
,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,5,2,1,3,6,0
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,4,2,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,2,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,0,1,0
Maule,07,Curico,07301,163626,0,0,0,1,2,3,6,3,12,10,9,9,19,9,0
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,13,6,0
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,2,0
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,13,1,0,2,3,0
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,1,0,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,4,0,0
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,5,1,0
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Maule,07,Retiro,07405,21071,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,0,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,0,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,6,1,8,6,1,0
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,6,4,7,3,3,6,3,0
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,4,5,0
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,13,15,14,0
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,1,1,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0
Maule,07,Total,,1131939,0,0,1,4,11,26,51,47,66,160,44,50,97,63,0
,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,10,27,10,7,7,5,9,26,31,0
Nuble,16,Chillan,16101,198624,0,1,0,1,27,117,116,76,33,25,17,14,21,46,0
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,14,3,1,1,2,8,0
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,3,3,4,6,12,12,3,1,6,0
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0
Nuble,16,Niquen,16303,11567,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,3,1,0
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,2,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Nuble,16,Quillon,16107,18777,0,0,0,0,1,8,9,8,1,0,3,2,2,5,0
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,7,4,0
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,6,10,9,2,3,3,3,6,4,0
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,2,1,0,1,3,2,0,3,0
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,5,4,4,0,0,0,1,1,0
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Yungay,16109,18596,0,0,0,0,0,3,16,21,3,4,6,2,2,1,0
Nuble,16,Total,,511551,0,1,0,1,35,167,219,164,74,60,50,37,73,118,0
,,,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Biobio,08,Arauco,08202,38679,0,0,0,0,1,2,2,1,0,0,0,5,4,3,0
Biobio,08,Cabrero,08303,30725,0,0,0,0,0,1,0,4,3,7,1,3,4,1,0
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Chiguayante,08103,91180,0,0,0,0,5,5,9,16,11,10,11,8,5,4,0
Biobio,08,Concepcion,08101,238092,0,0,1,1,6,28,28,22,21,18,14,19,17,9,0
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Coronel,08102,125829,0,0,0,0,1,6,6,4,1,0,5,2,12,9,0
Biobio,08,Curanilahue,08205,33892,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0
Biobio,08,Florida,08104,11841,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Biobio,08,Hualpen,08112,97273,0,0,0,0,3,23,33,27,17,8,2,5,11,4,0
Biobio,08,Hualqui,08105,26201,0,0,0,0,1,1,2,3,4,9,0,0,2,2,0
Biobio,08,Laja,08304,23873,0,0,0,1,1,0,3,1,1,1,5,1,17,20,0
Biobio,08,Lebu,08201,27100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Biobio,08,Los Alamos,08206,22524,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Biobio,08,Los Angeles,08301,218515,0,0,0,0,3,6,9,6,5,3,0,2,28,34,0
Biobio,08,Lota,08106,45750,0,0,0,0,0,1,0,0,0,0,0,1,16,6,0
Biobio,08,Mulchen,08305,31041,0,0,0,0,0,1,4,0,0,0,0,2,3,1,0
Biobio,08,Nacimiento,08306,27944,0,0,0,0,0,2,3,3,2,0,1,3,8,2,0
Biobio,08,Negrete,08307,10429,0,0,0,0,0,0,0,2,0,0,0,0,7,7,0
Biobio,08,Penco,08107,49865,0,0,0,0,0,1,3,3,3,8,0,2,1,2,0
Biobio,08,Quilaco,08308,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Quilleco,08309,10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,San Pedro de la Paz,08108,145906,0,0,0,0,6,34,17,24,8,11,3,2,11,3,0
Biobio,08,San Rosendo,08310,3611,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Biobio,08,Santa Barbara,08311,14592,0,0,0,0,0,0,2,0,0,0,0,0,3,8,0
Biobio,08,Santa Juana,08109,14779,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Biobio,08,Talcahuano,08110,158345,0,0,0,0,1,16,16,17,14,14,20,17,18,10,0
Biobio,08,Tirua,08207,11019,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
Biobio,08,Tome,08111,58729,0,0,0,0,0,9,11,12,7,9,1,4,14,4,0
Biobio,08,Tucapel,08312,15205,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
Biobio,08,Yumbel,08313,22132,0,0,0,0,0,0,5,0,1,1,1,2,4,0,0
Biobio,08,Total,,1663696,0,0,1,2,28,138,157,149,99,99,65,80,192,135,0
,,,,,,,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058,0,0,0,1,1,3,10,11,15,35,27,11,8,2,0
