Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,4,6,11,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,1,7,9,0
Valparaiso,05,Calle Larga,05302,16482,0,0,0,0,0,0,0,2,3,1,0,3,2,6,3
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,3,5,5,11,5,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,1,0,1,1,0,0,0,8,8,2
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,2,6,1,1,0,9,6,8,9,1
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,10,4,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,6,5,1
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,6,6,3,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,23,14,1
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,4,22,2
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,7,20,32,4
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,3,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,6,6,0
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,3,7,3,6,1,5,3,15,9,3
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,4,5,12,17,42,21,1
Valparaiso,05,Quintero,05107,36135,0,0,0,0,0,3,1,0,0,6,2,2,15,3,1
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,5,14,10,22,38,66,59,64,2
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,6,2,1
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,0,2,4,15,41,3
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,1,5,11,2,4,1
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,1,0,6,4,4,4,4,4,6,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,10,16,12,17,14,28,80,103,64,7
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,3,3,0,1,6,24,28,34,2
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,0,6,21,27,21,12,18,20,71,119,87,6
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Total,,1960170,0,0,0,4,15,71,103,96,81,100,157,343,539,504,41
,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,5,17,8,14,16,18,55,113,102,10
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,4,14,14,2
Metropolitana,13,Cerrillos,13102,88956,0,0,0,1,2,4,10,13,19,20,63,199,157,144,7
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,0,9,12,12,12,37,42,80,184,329,126,8
Metropolitana,13,Colina,13301,180353,0,0,1,4,6,27,15,19,16,19,31,108,260,246,29
Metropolitana,13,Conchali,13104,139195,0,0,0,0,1,16,12,17,33,67,116,264,311,208,18
Metropolitana,13,Curacavi,13503,36430,0,0,0,0,1,2,4,4,4,0,4,17,38,36,6
Metropolitana,13,El Bosque,13105,172000,0,0,0,0,2,14,21,28,45,44,78,187,306,289,12
Metropolitana,13,El Monte,13602,40014,0,0,0,0,0,1,1,6,4,1,8,12,29,15,3
Metropolitana,13,Estacion Central,13106,206792,0,0,0,1,2,11,27,33,39,78,163,325,436,340,11
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,4,19,7,16,17,29,45,159,205,155,13
Metropolitana,13,Independencia,13108,142065,0,0,0,1,3,14,9,23,45,141,290,461,441,240,31
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,3,7,12,6,2
Metropolitana,13,La Cisterna,13109,100434,0,0,0,0,0,10,11,16,18,23,58,108,200,200,2
Metropolitana,13,La Florida,13110,402433,0,0,0,2,12,28,56,57,65,93,171,478,828,670,54
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,6,13,28,20,16,63,225,450,424,14
Metropolitana,13,La Pintana,13112,189335,0,0,0,0,3,8,17,30,44,85,140,245,506,334,20
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,14,12,16,7,11,36,66,100,96,14
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,8,13,14,12,18,39,98,161,79,21
Metropolitana,13,Las Condes,13114,330759,0,1,0,19,59,121,65,37,32,26,64,208,391,365,51
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,52,28,17,35,35,63,121,189,172,14
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,4,7,22,27,21,54,130,287,229,6
Metropolitana,13,Lo Prado,13117,104403,0,0,0,1,2,5,19,13,20,30,96,128,189,102,12
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,15,21,17,12,20,77,163,331,279,10
Metropolitana,13,Maipu,13119,578605,0,0,0,0,13,46,67,75,76,111,128,297,617,527,43
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,0,6,3,0
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,4,5,5,8,21,31,60,74,89,11
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,52,37,46,45,65,63,132,308,282,32
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,9,5,11,7,15,42,59,45,3
Metropolitana,13,Paine,13404,82766,0,0,0,1,1,2,0,4,4,3,5,24,72,56,5
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,3,5,15,23,45,32,71,147,301,241,7
Metropolitana,13,Penaflor,13605,101058,0,0,0,1,4,3,9,5,9,14,24,38,62,46,7
Metropolitana,13,Penalolen,13122,266798,0,0,0,3,9,26,34,37,50,63,116,350,756,670,46
Metropolitana,13,Pirque,13202,30433,0,0,0,0,3,1,3,1,5,3,15,31,39,35,0
Metropolitana,13,Providencia,13123,157749,0,0,0,3,29,62,20,22,30,32,33,88,193,166,28
Metropolitana,13,Pudahuel,13124,253139,0,0,1,1,2,19,23,31,35,39,122,250,367,179,26
Metropolitana,13,Puente Alto,13201,645909,0,0,1,2,7,56,96,157,180,247,262,653,1113,833,51
Metropolitana,13,Quilicura,13125,254694,0,0,0,5,3,20,24,41,41,128,264,409,342,281,35
Metropolitana,13,Quinta Normal,13126,136368,0,0,0,2,4,13,24,36,47,49,94,199,266,130,15
Metropolitana,13,Recoleta,13127,190075,0,0,0,0,5,15,19,31,45,104,266,593,668,353,36
Metropolitana,13,Renca,13128,160847,0,0,0,0,4,7,11,7,32,61,99,212,366,151,17
Metropolitana,13,San Bernardo,13401,334836,0,0,1,2,7,20,36,65,72,119,144,287,534,475,45
Metropolitana,13,San Joaquin,13129,103485,0,0,0,1,1,14,22,15,37,38,78,204,451,416,48
Metropolitana,13,San Jose de Maipo,13203,18644,0,0,0,0,1,1,1,2,2,1,4,20,37,30,3
Metropolitana,13,San Miguel,13130,133059,0,0,0,0,3,25,21,25,44,47,68,155,332,269,26
Metropolitana,13,San Pedro,13505,11953,0,0,0,0,0,0,0,0,0,2,9,6,7,1,0
Metropolitana,13,San Ramon,13131,86510,0,0,0,0,1,4,11,9,11,40,87,213,395,285,13
Metropolitana,13,Santiago,13101,503147,0,0,1,2,28,94,95,134,155,164,344,815,1302,729,72
Metropolitana,13,Talagante,13601,81838,0,0,0,0,0,4,7,7,4,10,8,29,43,36,7
Metropolitana,13,Tiltil,13303,21477,0,0,0,0,0,2,1,2,1,1,3,6,11,12,1
Metropolitana,13,Vitacura,13132,96774,0,1,0,7,31,46,29,13,5,5,13,52,132,142,10
Metropolitana,13,Total,,8125072,0,2,6,65,324,948,1021,1251,1563,2246,4129,9264,15138,11353,957
,,,,,,,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,0,0,0,0,0,0,0,0,0,1,0,4,9,6,0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,0,0,0,0,0,0,0,0,0,0,3,7,13,9,0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,0,0,0,0,0,0,0,0,1,2,4,3,2,1,0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,0,0,0,0,0,0,0,0,0,1,5,2,2,1,0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,0,0,0,0,1,4,1,0,4,0,5,3,7,4,0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,0,0,0,0,0,0,0,0,0,0,3,0,5,2,0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,0,0,0,0,0,0,1,2,2,1,0,0,7,2,1
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,0,0,0,0,0,8,4,6,3,7,10,23,67,66,1
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,0,0,0,0,0,1,1,0,0,4,5,2,6,3,0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,0,0,0,0,0,2,0,0,0,0,2,0,4,2,0
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,0,0,0,0,0,2,1,1,0,0,0,2,6,2,0
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,0,0,0,0,0,0,3,1,0,0,3,2,13,13,0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,0,0,0,0,0,0,1,0,0,1,1,0,4,3,1
Del Libertador General Bernardo O’Higgins,06,Total,,991063,0,0,0,0,1,20,15,10,10,17,43,57,176,151,3
,,,,,,,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,0,0,0,0,0,0,2,3,1,5,2,1,3,9,0
Maule,07,Chanco,07202,9331,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Maule,07,Colbun,07402,22565,0,0,0,0,0,0,3,3,0,0,0,1,4,8,0
Maule,07,Constitucion,07102,50348,0,0,0,0,0,0,3,3,5,7,4,1,2,3,0
Maule,07,Curepto,07103,9426,0,0,0,0,0,0,0,3,2,3,0,1,1,2,0
Maule,07,Curico,07301,163626,0,0,0,1,3,3,6,3,12,9,10,9,17,33,10
Maule,07,Empedrado,07104,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Hualane,07302,10222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Maule,07,Licanten,07303,6989,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Maule,07,Linares,07401,101073,0,0,1,0,0,2,5,5,4,6,3,4,13,14,3
Maule,07,Longavi,07403,32810,0,0,0,0,0,1,0,1,1,1,0,2,5,8,0
Maule,07,Maule,07105,60000,0,0,0,0,0,1,1,2,6,12,2,0,3,9,0
Maule,07,Molina,07304,49800,0,0,0,0,0,1,2,0,1,3,0,0,1,2,0
Maule,07,Parral,07404,44544,0,0,0,0,0,1,3,2,2,1,0,0,5,4,3
Maule,07,Pelarco,07106,9083,0,0,0,0,0,0,0,0,3,2,0,2,4,5,1
Maule,07,Pelluhue,07203,8092,0,0,0,0,0,1,0,0,1,0,0,0,1,6,1
Maule,07,Pencahue,07107,8601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Maule,07,Rauco,07305,11248,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
Maule,07,Retiro,07405,21071,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Maule,07,Rio Claro,07108,14753,0,0,0,0,0,2,0,1,1,3,2,0,2,2,0
Maule,07,Romeral,07306,16170,0,0,0,0,0,1,2,0,0,10,0,0,0,0,0
Maule,07,Sagrada Familia,07307,19469,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Maule,07,San Clemente,07109,46292,0,0,0,0,0,0,0,1,2,6,1,8,6,10,2
Maule,07,San Javier,07406,49451,0,0,0,0,0,0,2,6,4,7,3,3,7,8,1
Maule,07,San Rafael,07110,9959,0,0,0,0,0,0,1,0,1,1,0,0,4,8,14
Maule,07,Talca,07101,236724,0,0,0,3,9,13,19,11,16,74,16,12,19,40,15
Maule,07,Teno,07308,30850,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0
Maule,07,Vichuquen,07309,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maule,07,Villa Alegre,07407,17512,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Maule,07,Yerbas Buenas,07408,19200,0,0,0,0,0,0,0,0,1,0,1,0,4,7,2
Maule,07,Total,,1131939,0,0,1,4,12,26,51,47,66,159,46,48,105,182,53
,,,,,,,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,0,0,0,0,0,10,27,10,7,7,5,9,22,40,1
Nuble,16,Chillan,16101,198624,0,1,0,1,27,117,116,76,33,25,17,14,22,54,3
Nuble,16,Chillan Viejo,16103,33827,0,0,0,0,5,7,19,7,14,3,1,1,2,9,4
Nuble,16,Cobquecura,16202,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Coelemu,16203,16845,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0
Nuble,16,Coihueco,16302,28375,0,0,0,0,0,3,3,4,6,12,12,3,1,6,0
Nuble,16,El Carmen,16104,12334,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0
Nuble,16,Ninhue,16204,5414,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0
Nuble,16,Niquen,16303,11567,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
Nuble,16,Pemuco,16105,8639,0,0,0,0,0,1,0,4,1,0,0,0,3,1,0
Nuble,16,Pinto,16106,11880,0,0,0,0,0,2,3,5,1,1,0,0,0,5,0
Nuble,16,Portezuelo,16205,4940,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
Nuble,16,Quillon,16107,18777,0,0,0,0,1,8,9,8,1,0,3,2,2,5,0
Nuble,16,Quirihue,16201,12192,0,0,0,0,0,0,1,2,0,1,0,1,7,4,0
Nuble,16,Ranquil,16206,6261,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0
Nuble,16,San Carlos,16301,56252,0,0,0,0,2,6,10,9,2,3,3,3,6,7,1
Nuble,16,San Fabian,16304,4654,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0
Nuble,16,San Ignacio,16108,16624,0,0,0,0,0,2,2,1,0,1,3,2,0,3,0
Nuble,16,San Nicolas,16305,12172,0,0,0,0,0,2,5,4,4,0,0,0,1,2,1
Nuble,16,Treguaco,16207,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuble,16,Yungay,16109,18596,0,0,0,0,0,3,16,21,3,4,6,2,2,2,0
Nuble,16,Total,,511551,0,1,0,1,35,167,219,164,74,60,50,37,70,148,12
,,,,,,,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Biobio,08,Antuco,08302,4306,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Biobio,08,Arauco,08202,38679,0,0,0,0,1,2,2,1,0,0,0,5,4,11,2
Biobio,08,Cabrero,08303,30725,0,0,0,0,0,1,0,4,3,7,1,3,4,2,1
Biobio,08,Canete,08203,37003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Biobio,08,Chiguayante,08103,91180,0,0,0,0,5,5,9,16,11,10,11,8,6,6,0
Biobio,08,Concepcion,08101,238092,0,0,1,1,6,28,28,22,21,18,14,18,17,14,21
Biobio,08,Contulmo,08204,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Coronel,08102,125829,0,0,0,0,1,6,6,4,1,0,5,2,14,12,5
Biobio,08,Curanilahue,08205,33892,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0
Biobio,08,Florida,08104,11841,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
Biobio,08,Hualpen,08112,97273,0,0,0,0,3,24,33,27,17,8,2,5,11,8,4
Biobio,08,Hualqui,08105,26201,0,0,0,0,1,1,2,3,4,9,0,0,2,3,2
Biobio,08,Laja,08304,23873,0,0,0,1,1,0,3,1,1,1,5,1,17,20,3
Biobio,08,Lebu,08201,27100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Biobio,08,Los Alamos,08206,22524,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Biobio,08,Los Angeles,08301,218515,0,0,0,0,4,7,9,6,5,3,0,3,31,53,16
Biobio,08,Lota,08106,45750,0,0,0,0,0,1,0,0,0,0,0,1,16,9,5
Biobio,08,Mulchen,08305,31041,0,0,0,0,0,1,4,0,0,0,0,2,3,1,0
Biobio,08,Nacimiento,08306,27944,0,0,0,0,0,2,3,3,2,0,1,3,8,4,2
Biobio,08,Negrete,08307,10429,0,0,0,0,0,0,0,2,0,0,0,0,7,11,5
Biobio,08,Penco,08107,49865,0,0,0,0,0,1,3,3,3,8,0,2,1,2,1
Biobio,08,Quilaco,08308,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,Quilleco,08309,10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,San Pedro de la Paz,08108,145906,0,0,0,0,6,34,17,24,8,11,3,2,13,9,6
Biobio,08,San Rosendo,08310,3611,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Biobio,08,Santa Barbara,08311,14592,0,0,0,0,0,0,2,0,0,0,0,0,3,9,0
Biobio,08,Santa Juana,08109,14779,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Biobio,08,Talcahuano,08110,158345,0,0,0,0,1,16,16,17,14,14,20,17,19,18,9
Biobio,08,Tirua,08207,11019,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
Biobio,08,Tome,08111,58729,0,0,0,0,0,9,11,12,7,9,1,4,15,4,1
Biobio,08,Tucapel,08312,15205,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
Biobio,08,Yumbel,08313,22132,0,0,0,0,0,0,5,0,1,1,1,2,4,0,0
Biobio,08,Total,,1663696,0,0,1,2,29,140,157,149,99,99,65,80,203,202,87
,,,,,,,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058,0,0,0,1,1,3,10,11,15,35,27,11,10,3,0
