Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23
Arica y Parinacota,15,Arica,15101,247552,0,0,0,2,1,2,21,70,63,53,69,51,43,87,137,54,0
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,0,0,0,2,1,2,21,70,63,53,69,51,43,87,137,54,0
,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,0,0,3,4,6,14,24,37,107,136,256,237,95,0
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,10,6,3,0
Tarapaca,01,Iquique,01101,223463,0,0,1,0,0,10,6,14,11,19,42,95,255,393,438,163,0
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,0,1,4,1,7,6,0
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,4,13,36,11,0
Tarapaca,01,Total,,382773,0,0,1,0,0,13,11,29,39,53,81,214,401,673,728,279,0
,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,42,58,106,159,213,299,299,238,74,0
Antofagasta,02,Calama,02201,190336,0,1,1,1,2,3,2,7,14,16,38,48,83,189,80,2,0
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,0,5,9,16,42,42,29,11,2,0
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,77,45,50,14,4,0
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,0,0,0,1,3,0,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,5,5,1,0,0
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,0,2,3,2,1,1,3,12,5,4,0
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,2,0,4,5,0,1,2,7,8,2,1,0
Antofagasta,02,Total,,691854,0,1,2,2,4,35,35,64,100,151,245,386,484,593,354,87,0
,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Atacama,03,Copiapo,03101,171766,0,0,0,0,1,0,2,1,4,0,12,26,27,14,23,25,0
Atacama,03,Diego de Almagro,03202,14358,0,0,0,0,0,0,1,0,0,0,0,1,1,4,3,2,0
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,0,2,3,0,2,5,10,1,0,1,0
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,1,9,11,9,13,2,5,6,0
Atacama,03,Total,,314709,0,0,0,0,1,0,3,3,8,10,25,44,53,22,33,35,0
,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,1,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,3,0
Coquimbo,04,Coquimbo,04102,256735,0,0,0,0,4,13,3,1,1,4,7,14,77,57,14,7,0
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,0,4,7,7,0,0,1,0,0,2,4,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Coquimbo,04,La Serena,04101,249656,0,0,0,0,1,3,6,4,2,2,5,13,48,40,41,21,0
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,1,6,15,17,4,0
Coquimbo,04,Ovalle,04301,121269,0,0,0,0,2,2,4,1,0,1,1,12,22,41,33,18,0
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,1,1,3,6,0,1,2,0
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,0,1,2,1,2,1,0,3,1,2,3,3,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0,1,2,5,3,3,0,0
Coquimbo,04,Total,,836096,0,0,0,0,7,21,19,14,12,9,15,55,175,166,120,68,0
,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,4,6,12,6,3,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,2,4,4,0,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,2,6,17,11,6,0
Valparaiso,05,Calle Larga,05302,16482,0,0,0,0,0,0,0,2,3,1,0,4,3,7,23,1,0
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,3,5,5,12,7,11,1,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,1,0,1,1,0,0,0,9,8,6,0,0
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,2,6,1,1,0,9,6,9,15,10,7,0
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,9,13,9,4,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,7,6,8,3,0
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,5,8,4,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,7,6,3,2,1,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,0,8,3,1,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,23,28,12,1,0
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,5,27,16,1,0
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,7,19,49,56,6,0
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,4,6,3,1,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,2,0,0,0,0,2,5,7,1,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,4,4,0,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,3,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,6,7,4,0,0
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,4,7,3,6,1,5,3,16,17,16,1,0
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,4,5,12,17,43,69,38,16,0
Valparaiso,05,Quintero,05107,36135,0,0,0,0,0,3,1,0,0,6,2,3,21,21,17,5,0
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,0,0,0,0,2,13,12,4,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,5,14,10,22,38,67,61,88,61,23,0
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,6,3,6,0,0
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,0,2,4,15,55,42,4,0
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,0,4,13,2,5,4,0,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,2,0,6,4,4,4,4,3,10,2,0,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,1,2,10,17,12,18,14,28,82,108,123,138,40,0
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,3,3,0,1,5,27,37,49,32,7,0
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,0,6,21,27,21,12,19,21,71,134,178,142,72,0
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Valparaiso,05,Total,,1960170,0,0,0,4,15,73,104,96,82,100,156,355,584,886,720,217,0
,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,5,17,9,14,17,18,57,126,156,100,21,0
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,5,16,25,22,9,0
Metropolitana,13,Cerrillos,13102,88956,0,0,0,1,2,5,10,13,19,20,63,207,187,253,173,41,0
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,0,9,13,13,13,38,43,86,234,477,424,187,59,0
Metropolitana,13,Colina,13301,180353,0,0,1,4,6,28,15,19,16,20,33,123,328,428,331,99,0
Metropolitana,13,Conchali,13104,139195,0,0,0,1,1,16,12,18,34,67,125,340,540,514,270,72,0
Metropolitana,13,Curacavi,13503,36430,0,0,0,0,1,2,4,4,4,0,4,18,40,65,81,49,0
Metropolitana,13,El Bosque,13105,172000,0,0,0,0,2,14,21,28,46,45,81,201,364,482,295,75,0
Metropolitana,13,El Monte,13602,40014,0,0,0,0,1,1,1,7,4,2,8,14,37,38,34,5,0
Metropolitana,13,Estacion Central,13106,206792,0,0,0,2,3,12,27,33,39,78,163,341,528,583,381,114,1
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,5,18,8,16,17,31,48,182,323,396,195,46,0
Metropolitana,13,Independencia,13108,142065,0,0,0,1,5,14,9,24,45,143,294,512,676,643,436,121,0
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,3,9,21,21,18,5,0
Metropolitana,13,La Cisterna,13109,100434,0,0,1,0,1,10,11,17,19,24,59,115,218,283,156,98,0
Metropolitana,13,La Florida,13110,402433,0,0,0,2,12,28,57,60,67,95,179,511,921,1345,1075,198,0
Metropolitana,13,La Granja,13111,122557,0,0,0,0,1,7,13,30,20,17,65,245,568,818,714,124,0
Metropolitana,13,La Pintana,13112,189335,0,0,0,0,3,9,17,31,45,86,144,284,594,774,754,120,0
Metropolitana,13,La Reina,13113,100252,0,0,0,0,12,14,12,16,7,12,36,70,120,194,212,30,0
Metropolitana,13,Lampa,13302,126898,0,0,0,0,0,8,13,14,12,18,41,114,259,269,194,47,0
Metropolitana,13,Las Condes,13114,330759,0,1,0,19,59,122,65,37,34,27,65,222,447,616,548,174,0
Metropolitana,13,Lo Barnechea,13115,124076,0,0,0,2,14,52,27,18,36,35,64,132,228,279,235,57,0
Metropolitana,13,Lo Espejo,13116,103865,0,0,0,0,1,4,7,25,28,22,57,154,326,388,210,73,0
Metropolitana,13,Lo Prado,13117,104403,0,0,0,1,2,5,19,14,21,31,99,170,310,289,132,36,0
Metropolitana,13,Macul,13118,134635,0,0,0,1,3,15,21,17,13,21,79,170,399,483,393,69,0
Metropolitana,13,Maipu,13119,578605,0,0,0,0,14,48,70,76,76,111,131,337,766,1078,848,210,0
Metropolitana,13,Maria Pinto,13504,14926,0,0,0,0,0,0,0,0,1,0,2,1,16,19,7,4,0
Metropolitana,13,Melipilla,13501,141612,0,0,0,1,1,4,5,5,8,21,33,75,90,152,186,112,0
Metropolitana,13,Nunoa,13120,250192,0,0,1,1,27,53,37,46,45,65,64,139,341,490,520,111,0
Metropolitana,13,Padre Hurtado,13604,74188,0,0,0,1,0,5,9,5,11,8,15,51,87,100,73,13,0
Metropolitana,13,Paine,13404,82766,0,0,0,1,1,3,0,4,4,3,5,24,76,78,69,5,0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,0,0,0,0,4,5,16,23,45,32,72,163,333,366,212,43,0
Metropolitana,13,Penaflor,13605,101058,0,0,1,1,5,3,9,5,9,14,26,42,95,127,90,19,0
Metropolitana,13,Penalolen,13122,266798,0,0,0,3,9,26,34,37,50,66,118,369,882,1227,1116,270,0
Metropolitana,13,Pirque,13202,30433,0,0,0,0,3,1,4,1,5,3,15,33,43,59,100,22,0
Metropolitana,13,Providencia,13123,157749,0,0,0,3,29,61,20,22,30,34,34,89,221,282,285,91,0
Metropolitana,13,Pudahuel,13124,253139,0,0,2,1,2,19,23,31,36,42,126,302,584,684,352,84,0
Metropolitana,13,Puente Alto,13201,645909,0,0,1,2,8,57,97,161,182,263,268,737,1356,1855,1449,262,0
