Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SE29
Arica y Parinacota,15,Arica,15101,247552.0,0,0.0,0.0,2.0,1.0,2.0,23.0,70.0,68.0,53.0,69.0,51.0,45.0,89.0,147.0,194.0,279.0,272.0,294.0,346.0,409.0,307.0,0.0
Arica y Parinacota,15,Camarones,15102,1233.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Putre,15201,2515.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,6.0,11.0,0.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Arica y Parinacota,15,Total,,252110.0,0.0,0.0,0.0,2.0,1.0,2.0,23.0,70.0,69.0,53.0,69.0,51.0,45.0,89.0,148.0,194.0,280.0,281.0,294.0,347.0,416.0,326.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999.0,0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,14.0,24.0,37.0,112.0,141.0,269.0,318.0,317.0,259.0,207.0,160.0,167.0,105.0,47.0,0.0
Tarapaca,01,Camina,01402,1375.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,2.0,3.0,10.0,4.0,2.0,0.0
Tarapaca,01,Colchane,01403,1583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,18.0,15.0,15.0,11.0,5.0,0.0
Tarapaca,01,Huara,01404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,7.0,8.0,11.0,6.0,9.0,11.0,14.0,17.0,0.0
Tarapaca,01,Iquique,01101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,14.0,11.0,21.0,42.0,102.0,259.0,403.0,504.0,457.0,444.0,456.0,415.0,344.0,307.0,139.0,0.0
Tarapaca,01,Pica,01405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,9.0,10.0,10.0,14.0,41.0,31.0,0.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,15.0,38.0,58.0,90.0,104.0,61.0,35.0,68.0,28.0,0.0
