Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23
Arica y Parinacota,15,Arica,15101,247552,0,0,0,2,1,2,21,70,63,53,69,51,43,87,143,154,47
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,0,0,0,2,1,2,21,70,63,53,69,51,43,87,143,154,47
,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,0,0,3,5,6,14,24,37,108,136,262,266,186,15
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,10,6,4,1
Tarapaca,01,Iquique,01101,223463,0,0,0,0,0,10,6,14,11,19,42,97,255,394,475,329,48
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,0,1,4,1,7,8,4
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,4,14,36,29,3
Tarapaca,01,Total,,382773,0,0,0,0,0,13,12,29,39,53,81,217,401,681,795,562,72
,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,42,58,106,159,213,299,304,274,181,12
Antofagasta,02,Calama,02201,190336,0,1,1,1,2,3,2,7,14,16,38,48,84,207,158,43,2
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,0,5,9,16,42,42,30,11,4,0
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,77,45,51,19,8,1
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,0,0,0,1,3,1,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,0,0
