Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25
Arica y Parinacota,15,Arica,15101,247552,0,0,0,2,1,2,22,70,66,53,69,51,44,89,147,192,272,204,87
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,0,0,0,2,1,3,22,70,67,53,69,51,44,89,147,192,273,209,90
,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,0,0,2,4,6,14,24,38,109,138,266,317,314,260,148,32
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,1,1
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,10,4
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,10,6,8,13,6,0
Tarapaca,01,Iquique,01101,223463,0,0,0,0,0,9,6,14,11,19,42,104,259,401,500,449,428,358,98
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,0,1,4,1,7,8,9,11,4
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,5,14,37,57,88,87,5
Tarapaca,01,Desconocido Tarapaca,,,0,0,0,0,0,0,0,1,0,1,1,4,99,25,32,26,34,28,7
Tarapaca,01,Total,,382773,0,0,0,0,0,11,11,30,39,54,83,229,507,717,904,870,845,649,151
,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,41,59,107,160,215,306,310,301,338,431,312,76
Antofagasta,02,Calama,02201,190336,0,1,1,0,2,3,2,9,15,16,38,51,88,226,272,423,663,450,116
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,0,5,9,16,45,42,30,13,12,10,6,7
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,76,45,51,19,19,5,4,0
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,1,0,0,1,4,3,17,11,3
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,16,6,4,0
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,0,2,3,2,1,1,3,12,6,8,6,6,3
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,2,0,4,5,0,1,2,7,8,8,3,5,10,4
Antofagasta,02,Desconocido Antofagasta,,,0,0,0,0,0,0,0,0,0,0,7,5,22,9,17,11,27,28,17
Antofagasta,02,Total,,691854,0,1,2,1,4,35,35,65,102,152,254,398,518,652,643,833,1170,833,226
,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,2,4,3
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0
