Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24
Arica y Parinacota,15,Arica,15101,247552,0,0,0,2,1,2,21,70,63,53,69,51,44,87,146,184,226,27
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Arica y Parinacota,15,Total,,252110,0,0,0,2,1,2,21,70,63,53,69,51,44,87,146,184,227,28
,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,1,0,3,6,6,14,24,37,109,136,264,300,275,153,17
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,10,6,7,5,0
Tarapaca,01,Iquique,01101,223463,0,0,0,0,0,10,6,14,11,19,42,100,257,398,487,426,311,61
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,0,1,4,1,7,8,7,0
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,4,14,37,48,56,28
Tarapaca,01,Total,,382773,0,0,0,1,0,13,13,29,39,53,81,221,403,687,842,770,539,108
,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,41,58,106,159,214,299,308,293,309,235,22
Antofagasta,02,Calama,02201,190336,0,1,1,1,2,3,2,7,14,16,38,49,84,221,261,286,151,2
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,0,5,9,16,42,42,30,13,10,4,0
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,76,45,51,19,16,1,0
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,1,0,0,1,4,2,2,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,10,0,0
