Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24
Arica y Parinacota,15,Arica,15101,247552,0,0,0,2,1,2,21,70,63,53,70,51,43,87,145,179,117,0
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arica y Parinacota,15,Total,,252110,0,0,0,2,1,2,21,70,63,53,70,51,43,87,145,179,118,0
,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,1,0,3,6,6,14,24,37,109,136,266,291,259,86,0
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,10,6,7,2,0
Tarapaca,01,Iquique,01101,223463,0,0,0,0,0,10,6,14,11,19,42,98,256,397,482,396,173,0
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,0,1,4,1,7,8,6,0
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,4,14,36,39,23,0
Tarapaca,01,Total,,382773,0,0,0,1,0,13,13,29,39,53,81,219,402,688,827,715,294,0
,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,41,58,106,159,214,299,307,287,245,98,0
Antofagasta,02,Calama,02201,190336,0,1,1,1,2,3,2,7,14,16,38,49,82,215,204,117,5,0
