Comorbilidad,Hospitalización,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
Hipertensión arterial,NO,9.4,9.8,10.1,10.3,10.6,16083,18328,24774,27615,30754,32044,34125,36145,37285,38368,39868,40561.0,41406.0,42006.0,42783.0,43001.0,43230.0,43518.0,43898.0,44497.0,45109
Diabetes,NO,4.1,4.3,4.5,4.5,4.7,7024,8015,10780,12035,13419,13959,14918,17783,18321,18887,19624,19961.0,20350.0,20658.0,21087.0,21163.0,21224.0,21327.0,21412.0,21714.0,22021
Obesidad,NO,2.0,2.1,2.2,2.3,2.4,3639,4199,5789,6537,7336,7695,8161,9366,9644,9945,10305,10438.0,10623.0,10766.0,10998.0,11036.0,11117.0,11180.0,11270.0,11417.0,11558
Asma,NO,2.3,2.3,2.4,2.4,2.4,3582,4010,5392,6073,6714,6974,7396,8613,8864,9164,9560,9697.0,9888.0,10020.0,10291.0,10426.0,10601.0,10726.0,10890.0,11057.0,11244
Enfermedad cardiovascular,NO,0.8,0.8,0.8,0.7,0.7,1041,1134,1500,1656,1832,1894,1999,2310,2364,2427,2515,2547.0,2591.0,2612.0,2650.0,2645.0,2655.0,2659.0,2666.0,2699.0,2709
Enfermedad pulmonar crónica,NO,0.6,0.5,0.6,0.6,0.6,828,925,1233,1407,1562,1643,1744,2068,2130,2204,2309,2348.0,2392.0,2427.0,2475.0,2479.0,2489.0,2517.0,2528.0,2546.0,2591
Cardiopatía crónica,NO,0.6,0.6,0.6,0.6,0.6,802,878,1152,1277,1377,1436,1532,1814,1879,1933,2007,2038.0,2081.0,2112.0,2144.0,2142.0,2146.0,2156.0,2195.0,2216.0,2249
Enfermedad renal crónica,NO,0.3,0.4,0.4,0.4,0.4,632,737,982,1117,1247,1294,1381,1663,1707,1764,1802,1830.0,1870.0,1888.0,1917.0,1919.0,1900.0,1917.0,1909.0,1961.0,1988
Enfermedad neurológica crónica,NO,0.3,0.3,0.3,0.3,0.3,430,493,696,794,878,907,955,1142,1180,1210,1258,1280.0,1299.0,1330.0,1339.0,1349.0,1370.0,1380.0,1385.0,1403.0,1428
Inmunocomprometido,NO,0.1,0.1,0.1,0.1,0.1,145,106,149,172,185,277,304,344,345,1584,1636,1648.0,1675.0,1691.0,1720.0,1726.0,1732.0,1744.0,1751.0,1780.0,1793
Enfermedad hepática crónica,NO,0.1,0.1,0.1,0.1,0.1,103,123,160,185,207,218,233,283,288,299,303,306.0,314.0,317.0,325.0,323.0,323.0,320.0,320.0,328.0,328
Número Casos sin Hospitalización,NO,67557.0,82999.0,96284.0,112067.0,127271.0,147279,164362,2014201,237083,261763,271856,288077,303674,313069,322632,336490,,,,,,,,,,
Hipertensión arterial,SI,28.9,28.7,28.8,29.0,29.9,4147,4641,5302,5730,6260,6476,6808,7257,7549,7785,8324,8522.0,8730.0,8908.0,9246.0,9926.0,10786.0,11228.0,11797.0,12015.0,12370
Diabetes,SI,19.6,19.2,19.1,18.9,19.3,2615,2935,3353,3603,3930,4056,4255,4506,4693,4835,5177,5297.0,5426.0,5539.0,5758.0,6169.0,6694.0,6988.0,7364.0,7506.0,7704
Obesidad,SI,5.9,6.1,6.1,6.2,6.3,858,989,1150,1236,1375,1436,1512,1589,1650,1701,1802,1843.0,1882.0,1908.0,1987.0,2149.0,2338.0,2433.0,2555.0,2599.0,2663
Asma,SI,3.6,3.3,3.3,3.3,3.3,594,645,548,586,625,651,688,726,757,781,830,852.0,872.0,882.0,912.0,983.0,1087.0,1152.0,1223.0,1242.0,1278
Enfermedad cardiovascular,SI,4.6,4.3,4.2,4.0,4.0,580,643,708,758,829,858,905,969,998,1026,1105,1127.0,1159.0,1179.0,1224.0,1294.0,1371.0,1414.0,1465.0,1491.0,1538
Enfermedad pulmonar crónica,SI,4.8,4.5,4.4,4.4,4.3,582,631,739,801,846,894,941,977,1002,1021,1075,1095.0,1122.0,1139.0,1180.0,1241.0,1299.0,1331.0,1392.0,1422.0,1454
Cardiopatía crónica,SI,5.1,4.8,4.6,4.4,4.4,557,611,746,805,858,894,938,980,1019,1050,1106,1135.0,1165.0,1187.0,1221.0,1276.0,1341.0,1388.0,1451.0,1487.0,1518
Enfermedad renal crónica,SI,4.4,4.4,4.3,4.3,4.3,446,488,734,781,829,879,923,979,1010,1046,1138,1164.0,1205.0,1237.0,1300.0,1369.0,1463.0,1503.0,1586.0,1622.0,1669
Enfermedad neurológica crónica,SI,3.0,2.8,2.7,2.6,2.6,367,394,476,518,578,595,630,656,679,699,744,771.0,797.0,809.0,833.0,852.0,888.0,910.0,945.0,963.0,975
Inmunocomprometido,SI,1.3,1.3,1.2,1.1,1.1,154,160,167,176,184,210,239,231,256,675,709,733.0,749.0,760.0,781.0,812.0,857.0,873.0,906.0,914.0,933
Enfermedad hepática crónica,SI,1.1,1.2,1.2,1.1,1.1,155,148,177,194,215,227,241,259,265,279,299,306.0,320.0,329.0,344.0,350.0,372.0,382.0,395.0,400.0,409
Número Casos Hospitalizados,SI,6440.0,7639.0,8875.0,10432.0,11575.0,13567,15074,17158,18285,19702,20339,21286,22408,23195,23864,25362,,,,,,,,,,
