Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26
Arica y Parinacota,15,Arica,15101,247552.0,0,0.0,0.0,2.0,1.0,2.0,23.0,70.0,67.0,53.0,69.0,51.0,44.0,89.0,147.0,192.0,271.0,269.0,275.0,133.0
Arica y Parinacota,15,Camarones,15102,1233.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Putre,15201,2515.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Arica y Parinacota,15,Total,,252110.0,0.0,0.0,0.0,2.0,1.0,3.0,23.0,70.0,68.0,53.0,69.0,51.0,44.0,89.0,147.0,192.0,272.0,278.0,275.0,135.0
,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,1107,129999.0,0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,14.0,24.0,37.0,111.0,141.0,267.0,321.0,317.0,275.0,211.0,148.0,70.0
Tarapaca,01,Camina,1402,1375.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,2.0,4.0,4.0
Tarapaca,01,Colchane,1403,1583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,18.0,16.0,8.0
Tarapaca,01,Huara,1404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,6.0,8.0,13.0,7.0,7.0,2.0
Tarapaca,01,Iquique,1101,223463.0,0,0.0,0.0,0.0,0.0,9.0,6.0,14.0,11.0,21.0,42.0,104.0,259.0,401.0,500.0,455.0,440.0,452.0,379.0,117.0
Tarapaca,01,Pica,1405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,9.0,11.0,10.0,7.0
