Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
Arica y Parinacota,15,Arica,15101,247552.0,88.0,80.0,72.0,65.0,77.0,103.0,105.0,87.0,61.0,66.0,49.0,68.0,117.0,143.0,163.0,177.0,248.0,278.0,328.0,353.0,358.0,381.0,408.0,406.0,495.0,575.0,655.0,818.0,859.0,981.0,984.0,962.0,861.0,709.0,779.0,775.0,778.0,651.0,643.0,585
Arica y Parinacota,15,Camarones,15102,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,12.0,7.0,2.0,2.0,6.0,4.0,4.0,1.0,1.0,1.0,3.0,0
Arica y Parinacota,15,General Lagos,15202,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,14.0,26.0,11.0,8.0,2
Arica y Parinacota,15,Putre,15201,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,7.0,1.0,1.0,1.0,15.0,17.0,15.0,12.0,7.0,7.0,3.0,1.0,10.0,15.0,9.0,6.0,1.0,2.0,2
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,6.0,8.0,7.0,12.0,10.0,13.0,7.0,6.0,3
Arica y Parinacota,15,Total,,252110.0,88.0,80.0,72.0,65.0,77.0,103.0,105.0,87.0,61.0,66.0,49.0,68.0,117.0,143.0,163.0,177.0,248.0,279.0,330.0,356.0,366.0,388.0,410.0,407.0,496.0,591.0,681.0,848.0,886.0,1000.0,998.0,974.0,876.0,731.0,815.0,809.0,824.0,671.0,662.0,592.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999.0,8.0,8.0,7.0,15.0,19.0,27.0,38.0,78.0,93.0,94.0,118.0,183.0,246.0,253.0,252.0,297.0,265.0,301.0,235.0,247.0,243.0,239.0,218.0,219.0,205.0,165.0,137.0,119.0,144.0,129.0,128.0,180.0,190.0,195.0,203.0,201.0,222.0,220.0,248.0,200
Tarapaca,01,Camina,01402,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,7.0,4.0,3.0,1.0,1.0,8.0,10.0,13.0,7.0,6.0,3.0,7.0,3.0,1.0,3.0,3.0,2.0,2.0,8.0,12.0,13.0,8.0,2
Tarapaca,01,Colchane,01403,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,8.0,12.0,14.0,27.0,24.0,20.0,15.0,16.0,15.0,13.0,4.0,9.0,12.0,12.0,11.0,3.0,2.0,1.0,2.0,1.0,2.0,2
Tarapaca,01,Huara,01404,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,7.0,5.0,7.0,6.0,11.0,9.0,6.0,8.0,5.0,5.0,10.0,12.0,9.0,9.0,15.0,21.0,28.0,28.0,27.0,21.0,18.0,13.0,9.0,6.0,3.0,11.0,12.0,9.0,9.0,10
Tarapaca,01,Iquique,01101,223463.0,11.0,8.0,10.0,10.0,29.0,38.0,39.0,63.0,169.0,206.0,293.0,371.0,419.0,469.0,514.0,532.0,509.0,521.0,474.0,547.0,575.0,548.0,495.0,417.0,455.0,433.0,409.0,344.0,335.0,344.0,399.0,483.0,433.0,380.0,374.0,387.0,373.0,353.0,367.0,299
Tarapaca,01,Pica,01405,5958.0,9.0,17.0,21.0,17.0,13.0,9.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,2.0,7.0,12.0,15.0,14.0,8.0,14.0,15.0,18.0,17.0,14.0,29.0,71.0,69.0,57.0,39.0,23.0,26.0,46.0,48.0,41.0,33.0,40.0,53.0,61.0,57.0,42
Tarapaca,01,Pozo Almonte,01401,17395.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,13.0,19.0,30.0,46.0,44.0,56.0,97.0,115.0,130.0,106.0,64.0,65.0,55.0,66.0,83.0,55.0,53.0,47.0,53.0,140.0,143.0,145.0,82.0,78.0,81.0,73.0,64.0,53
Tarapaca,01,Desconocido Tarapaca,,,,,,,,,,,,,,,,,,,,,,,44.0,40.0,36.0,39.0,40.0,35.0,39.0,38.0,72.0,60.0,68.0,59.0,49.0,62.0,30.0,27.0,29.0,24.0,23.0,22
Tarapaca,01,Total,,382773.0,30.0,35.0,38.0,42.0,61.0,74.0,77.0,145.0,273.0,314.0,425.0,567.0,686.0,749.0,817.0,900.0,849.0,910.0,831.0,943.0,1032.0,991.0,871.0,793.0,827.0,814.0,786.0,657.0,681.0,636.0,705.0,936.0,886.0,834.0,729.0,753.0,784.0,754.0,778.0,630.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725.0,49.0,54.0,62.0,86.0,121.0,140.0,158.0,201.0,235.0,225.0,296.0,315.0,296.0,280.0,239.0,271.0,251.0,307.0,349.0,433.0,526.0,646.0,780.0,759.0,905.0,992.0,1065.0,966.0,825.0,751.0,680.0,654.0,689.0,747.0,890.0,817.0,754.0,661.0,640.0,571
Antofagasta,02,Calama,02201,190336.0,12.0,11.0,10.0,10.0,9.0,25.0,33.0,37.0,32.0,33.0,57.0,76.0,76.0,87.0,98.0,55.0,73.0,92.0,221.0,370.0,746.0,978.0,923.0,876.0,814.0,743.0,726.0,585.0,494.0,399.0,413.0,375.0,313.0,298.0,272.0,295.0,277.0,220.0,207.0,184
Antofagasta,02,Maria Elena,02302,6814.0,1.0,2.0,4.0,6.0,7.0,8.0,24.0,24.0,25.0,21.0,31.0,28.0,25.0,29.0,17.0,11.0,5.0,8.0,6.0,6.0,15.0,21.0,32.0,38.0,30.0,27.0,27.0,17.0,13.0,15.0,12.0,15.0,18.0,12.0,8.0,7.0,8.0,5.0,2.0,2
Antofagasta,02,Mejillones,02102,14776.0,11.0,13.0,14.0,18.0,30.0,38.0,37.0,83.0,79.0,75.0,41.0,43.0,45.0,33.0,17.0,12.0,14.0,13.0,1.0,5.0,6.0,22.0,34.0,44.0,61.0,39.0,28.0,29.0,21.0,18.0,24.0,19.0,26.0,29.0,31.0,29.0,23.0,24.0,32.0,25
Antofagasta,02,Ollague,02202,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,4.0,7.0,10.0,7.0,5.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,12.0,20.0,29.0,35.0,42.0,40.0,34.0,39.0,44.0,55.0,52.0,37.0,30.0,35.0,26.0,32.0,25.0,25.0,19.0,24.0,21
Antofagasta,02,Sierra Gorda,02103,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,4.0,4.0,0.0,1.0,0.0,5.0,7.0,7.0,7.0,5.0,2.0,4.0,4.0,6.0,6.0,6.0,9.0,4.0,10.0,7.0,8.0,4.0,6.0,7.0,3.0,3.0,0.0,1
Antofagasta,02,Taltal,02104,13657.0,3.0,5.0,5.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,8.0,7.0,12.0,12.0,4.0,8.0,8.0,7.0,6.0,4.0,10.0,15.0,10.0,11.0,11.0,15.0,22.0,27.0,27.0,17.0,16.0,6.0,7.0,16.0,16.0,17.0,11.0,20.0,17.0,13
Antofagasta,02,Tocopilla,02301,28079.0,1.0,3.0,8.0,4.0,1.0,0.0,1.0,2.0,2.0,3.0,6.0,8.0,6.0,6.0,5.0,2.0,3.0,3.0,5.0,7.0,15.0,28.0,42.0,41.0,74.0,58.0,49.0,36.0,25.0,16.0,22.0,17.0,8.0,11.0,12.0,9.0,13.0,12.0,16.0,24
Antofagasta,02,Desconocido Antofagasta,,,,,,,,,,,,,,,,,,,,,,,50.0,103.0,63.0,56.0,78.0,56.0,57.0,61.0,67.0,60.0,46.0,45.0,47.0,41.0,36.0,41.0,41.0,35.0,36.0,17
