Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25
Arica y Parinacota,15,Arica,15101,247552,0,0,0,2,1,2,21,70,63,53,69,51,45,88,147,185,244,135,0
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Arica y Parinacota,15,Total,,252110,0,0,0,2,1,2,21,70,63,53,69,51,45,88,147,185,245,137,0
,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,1,0,3,6,6,14,24,37,109,136,265,302,287,214,64,0
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,1,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,5,0
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,10,6,7,5,1,0
Tarapaca,01,Iquique,01101,223463,0,0,0,0,0,10,6,14,11,19,42,102,258,399,491,432,392,203,0
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,0,1,4,1,7,8,9,5,0
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,4,14,37,57,77,46,0
Tarapaca,01,Total,,382773,0,0,0,1,0,13,13,29,39,53,81,223,404,689,848,797,708,325,0
,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,41,58,106,159,214,303,308,297,318,343,130,0
Antofagasta,02,Calama,02201,190336,0,1,1,1,2,3,2,9,14,16,38,52,84,221,267,381,403,38,0
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,0,5,9,16,42,42,30,13,11,6,0,0
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,76,45,51,19,18,3,2,0
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,1,0,0,1,4,3,13,0,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,12,5,2,0
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,0,2,3,2,1,1,3,12,6,7,5,0,0
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,2,0,4,5,0,1,2,7,8,8,2,5,2,0
Antofagasta,02,Total,,691854,0,1,2,2,4,35,35,65,100,151,246,390,489,636,617,752,783,176,0
,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,2,3,0
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Atacama,03,Copiapo,03101,171766,0,0,0,0,1,0,2,1,4,0,12,26,27,14,25,57,101,27,0
Atacama,03,Diego de Almagro,03202,14358,0,0,1,0,0,0,1,0,0,0,0,1,1,4,3,6,3,5,0
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,1,0
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,0,2,3,0,2,5,10,1,0,1,7,4,0
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,1,9,11,9,13,2,6,15,23,11,0
Atacama,03,Total,,314709,0,0,1,0,1,0,3,3,8,10,25,44,53,22,36,85,146,52,0
,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,2,7,3,3,6,4,0,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,5,3,0,0
Coquimbo,04,Coquimbo,04102,256735,0,0,0,0,4,13,3,1,1,4,7,16,78,81,60,136,104,35,0
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,0,4,7,7,0,0,1,0,1,4,19,8,4,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Coquimbo,04,La Serena,04101,249656,0,0,0,0,0,3,6,4,2,3,5,13,50,44,66,93,92,38,0
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,4,3,1,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,1,6,18,25,24,19,7,0
Coquimbo,04,Ovalle,04301,121269,0,0,0,0,2,2,4,2,0,2,1,12,25,43,55,102,120,32,0
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,1,1,3,6,0,4,14,2,2,0
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,5,5,0,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,0,1,2,1,2,1,0,3,2,2,5,14,11,0,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0,1,3,5,3,4,4,3,0,0
Coquimbo,04,Total,,836096,0,0,0,0,6,21,19,15,12,11,15,58,183,201,236,430,379,119,0
,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,0,0,0,0,1,4,4,0,0,0,2,4,6,13,10,8,14,6,0
Valparaiso,05,Cabildo,05402,20663,0,0,0,0,0,0,0,0,0,0,5,3,3,6,6,12,5,2,0
Valparaiso,05,Calera,05502,53591,0,0,0,0,0,1,6,2,4,7,2,2,7,17,20,21,39,13,0
Valparaiso,05,Calle Larga,05302,16482,0,0,1,0,0,0,0,2,3,1,0,4,3,8,28,25,23,1,0
Valparaiso,05,Cartagena,05603,25357,0,0,0,0,0,0,0,2,0,1,5,5,12,7,15,11,8,2,0
Valparaiso,05,Casablanca,05102,29170,0,0,0,0,0,2,0,1,1,0,0,0,9,9,8,10,17,6,0
Valparaiso,05,Catemu,05702,15213,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,13,14,5,0
Valparaiso,05,Concon,05103,45889,0,0,0,0,0,2,6,1,1,0,9,6,9,16,17,17,24,12,0
Valparaiso,05,El Quisco,05604,17742,0,0,0,0,0,1,0,4,2,4,0,5,9,14,13,16,13,1,0
Valparaiso,05,El Tabo,05605,14338,0,0,0,0,0,0,5,0,2,3,3,4,7,6,15,19,8,0,0
Valparaiso,05,Hijuelas,05503,19099,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10,15,8,4,0
Valparaiso,05,Isla de Pascua,05201,8277,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,Juan Fernandez,05104,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valparaiso,05,La Cruz,05504,25321,0,0,0,1,0,1,2,3,1,0,1,8,6,3,5,11,15,0,0
Valparaiso,05,La Ligua,05401,37739,0,0,0,0,0,1,0,1,0,0,0,1,1,9,11,24,15,5,0
Valparaiso,05,Limache,05802,49931,0,0,0,0,0,2,0,5,9,6,1,7,23,31,22,34,48,17,0
Valparaiso,05,Llaillay,05703,26533,0,0,0,0,0,1,1,0,0,0,1,2,5,28,23,20,25,8,0
Valparaiso,05,Los Andes,05301,68093,0,0,0,0,0,2,2,0,3,0,2,9,19,55,77,79,108,14,0
Valparaiso,05,Nogales,05506,23490,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,8,2,0
Valparaiso,05,Olmue,05803,19266,0,0,0,0,0,0,0,1,1,0,0,0,3,5,11,6,9,0,0
Valparaiso,05,Panquehue,05704,7633,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,6,0,0
Valparaiso,05,Papudo,05403,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,5,1,0
Valparaiso,05,Petorca,05404,10558,0,0,0,0,0,1,4,1,0,0,0,0,1,4,4,7,2,1,0
Valparaiso,05,Puchuncavi,05105,20071,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,7,19,7,0
Valparaiso,05,Putaendo,05705,17645,0,0,0,0,0,1,0,0,1,3,2,2,6,7,6,13,24,7,0
Valparaiso,05,Quillota,05501,97572,0,0,0,1,0,4,7,3,7,1,5,3,17,17,36,51,105,23,0
Valparaiso,05,Quilpue,05801,167085,0,0,0,1,3,3,9,6,4,5,12,18,45,73,73,72,71,15,0
Valparaiso,05,Quintero,05107,36135,0,0,1,0,0,3,1,1,0,6,2,3,22,24,27,37,36,5,0
Valparaiso,05,Rinconada,05303,11263,0,0,0,0,0,0,0,3,0,0,0,0,2,13,17,16,15,10,0
Valparaiso,05,San Antonio,05601,96761,0,0,0,0,0,0,5,14,11,22,38,66,60,96,91,126,93,11,0
Valparaiso,05,San Esteban,05304,20643,0,0,0,0,0,0,0,0,0,1,2,2,7,3,10,14,19,3,0
Valparaiso,05,San Felipe,05701,83494,0,0,0,0,0,3,2,2,0,0,2,6,16,58,64,95,120,35,0
Valparaiso,05,Santa Maria,05706,16367,0,0,0,0,0,0,2,0,0,0,4,14,2,5,8,12,13,2,0
Valparaiso,05,Santo Domingo,05606,11934,0,0,0,0,2,2,0,6,4,4,4,5,4,10,6,8,21,2,0
Valparaiso,05,Valparaiso,05101,315732,0,0,0,2,2,9,17,13,18,14,26,81,112,137,211,265,316,99,0
Valparaiso,05,Villa Alemana,05804,139310,0,0,0,0,1,7,3,3,0,1,5,29,39,48,58,89,73,14,0
Valparaiso,05,Vina del Mar,05109,361371,0,0,0,1,6,21,27,21,11,19,24,77,132,189,217,236,259,74,0
Valparaiso,05,Zapallar,05405,7994,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Valparaiso,05,Total,,1960170,0,0,2,6,15,73,104,97,84,98,157,369,599,952,1140,1406,1598,407,0
,,,,,,,,,,,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,8,4,1,0
Metropolitana,13,Buin,13402,109641,0,0,0,0,0,5,17,10,14,17,18,60,130,182,214,163,177,37,0
Metropolitana,13,Calera de Tango,13403,28525,0,0,0,0,0,4,4,1,1,5,1,6,18,29,31,53,42,5,0
Metropolitana,13,Cerrillos,13102,88956,0,0,1,1,1,5,10,14,20,21,63,217,198,266,297,206,180,45,0
Metropolitana,13,Cerro Navia,13103,142465,0,0,0,0,10,13,13,13,37,45,92,246,515,597,589,511,331,63,0
Metropolitana,13,Colina,13301,180353,0,0,1,4,6,28,16,19,16,20,33,125,331,470,517,474,369,92,0
Metropolitana,13,Conchali,13104,139195,0,0,0,1,1,16,12,18,35,69,127,350,555,626,555,474,327,78,0
Metropolitana,13,Curacavi,13503,36430,0,0,1,0,1,2,4,4,4,0,4,18,40,67,93,125,86,28,0
Metropolitana,13,El Bosque,13105,172000,0,0,0,1,2,14,21,29,49,44,82,212,383,529,507,634,544,125,0
Metropolitana,13,El Monte,13602,40014,0,0,0,0,1,1,1,7,4,2,8,15,38,66,127,75,52,15,0
Metropolitana,13,Estacion Central,13106,206792,0,0,0,2,3,12,27,33,40,76,164,353,539,632,619,617,458,75,0
Metropolitana,13,Huechuraba,13107,112528,0,0,0,0,5,18,9,16,17,31,54,188,337,452,347,267,205,37,0
Metropolitana,13,Independencia,13108,142065,0,0,0,1,5,15,9,24,43,143,296,528,719,716,714,630,384,73,0
Metropolitana,13,Isla de Maipo,13603,40171,0,0,0,0,0,2,1,6,2,0,4,9,21,29,60,57,28,6,0
Metropolitana,13,La Cisterna,13109,100434,0,0,2,0,1,10,13,17,18,25,60,117,225,314,286,358,282,69,0
Metropolitana,13,La Florida,13110,402433,0,0,1,3,12,29,57,60,67,98,184,539,936,1416,1516,1316,1178,221,0
Metropolitana,13,La Granja,13111,122557,0,0,0,1,1,7,13,31,21,18,67,254,575,854,895,638,525,68,0
Metropolitana,13,La Pintana,13112,189335,0,0,1,0,3,9,18,30,45,87,147,305,612,827,1104,1125,784,95,0
