Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27
Arica y Parinacota,15,Arica,15101,247552.0,0,0.0,0.0,2.0,1.0,2.0,23.0,70.0,67.0,53.0,69.0,51.0,44.0,89.0,147.0,193.0,272.0,270.0,284.0,238.0,12.0
Arica y Parinacota,15,Camarones,15102,1233.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Putre,15201,2515.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Total,,252110.0,0.0,0.0,0.0,2.0,1.0,2.0,23.0,70.0,68.0,53.0,69.0,51.0,44.0,89.0,147.0,193.0,273.0,279.0,284.0,239.0,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,1107,129999.0,0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,14.0,24.0,37.0,111.0,141.0,267.0,317.0,312.0,258.0,201.0,152.0,130.0,5.0
Tarapaca,01,Camina,1402,1375.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,2.0,4.0,8.0,0.0
Tarapaca,01,Colchane,1403,1583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,18.0,15.0,12.0,0.0
Tarapaca,01,Huara,1404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,6.0,8.0,11.0,7.0,7.0,7.0,0.0
Tarapaca,01,Iquique,1101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,14.0,11.0,21.0,42.0,104.0,258.0,401.0,501.0,453.0,441.0,450.0,394.0,205.0,8.0
Tarapaca,01,Pica,1405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,9.0,10.0,10.0,9.0,0.0
Tarapaca,01,Pozo Almonte,1401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,14.0,38.0,57.0,89.0,102.0,60.0,19.0,6.0
Tarapaca,01,Desconocido Tarapaca,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,95.0,29.0,32.0,25.0,34.0,28.0,20.0,25.0,1.0
Tarapaca,01,Total,,382773.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,29.0,40.0,55.0,82.0,231.0,505.0,722.0,906.0,872.0,856.0,818.0,662.0,415.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,2101,425725.0,0,0.0,0.0,1.0,2.0,28.0,31.0,41.0,60.0,109.0,160.0,216.0,311.0,313.0,304.0,354.0,492.0,594.0,662.0,376.0,13.0
Antofagasta,02,Calama,2201,190336.0,0,0.0,1.0,0.0,2.0,3.0,3.0,8.0,17.0,17.0,40.0,54.0,91.0,234.0,283.0,439.0,807.0,969.0,839.0,422.0,11.0
Antofagasta,02,Maria Elena,2302,6814.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,45.0,42.0,30.0,13.0,13.0,11.0,7.0,39.0,15.0,1.0
Antofagasta,02,Mejillones,2102,14776.0,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,18.0,30.0,76.0,45.0,51.0,19.0,19.0,10.0,17.0,37.0,27.0,0.0
Antofagasta,02,Ollague,2202,287.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,2203,10434.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,18.0,21.0,30.0,22.0,0.0
Antofagasta,02,Sierra Gorda,2103,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,3.0,1.0,0.0
Antofagasta,02,Taltal,2104,13657.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,7.0,9.0,13.0,3.0,0.0
Antofagasta,02,Tocopilla,2301,28079.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,7.0,8.0,8.0,4.0,5.0,24.0,44.0,20.0,0.0
Antofagasta,02,Desconocido Antofagasta,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,11.0,44.0,30.0,1.0
Antofagasta,02,Total,,691854.0,0.0,0.0,2.0,1.0,4.0,35.0,36.0,64.0,105.0,155.0,254.0,397.0,505.0,656.0,640.0,854.0,1361.0,1662.0,1715.0,916.0,26.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,3302,5729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0
Atacama,03,Caldera,3102,19426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,7.0,5.0,16.0,1.0
Atacama,03,Chanaral,3201,13164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,12.0,2.0,0.0
Atacama,03,Copiapo,3101,171766.0,0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,12.0,28.0,27.0,14.0,26.0,57.0,112.0,123.0,146.0,114.0,3.0
Atacama,03,Diego de Almagro,3202,14358.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,6.0,4.0,8.0,4.0,4.0,0.0
Atacama,03,Freirina,3303,7681.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,5.0,0.0
Atacama,03,Huasco,3304,11264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,4.0,5.0,0.0
Atacama,03,Tierra Amarilla,3103,14312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,10.0,2.0,0.0,1.0,10.0,15.0,14.0,5.0,0.0
Atacama,03,Vallenar,3301,57009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,9.0,13.0,2.0,6.0,15.0,27.0,54.0,67.0,47.0,0.0
Atacama,03,Desconocido Atacama,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,16.0
Atacama,03,Total,,314709.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,8.0,10.0,26.0,46.0,53.0,23.0,37.0,85.0,168.0,219.0,269.0,199.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,4103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,7.0,5.0,0.0,5.0,6.0,0.0
Coquimbo,04,Canela,4202,9546.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,0.0
Coquimbo,04,Combarbala,4302,13884.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,7.0,1.0,0.0
Coquimbo,04,Coquimbo,4102,256735.0,0,0.0,0.0,0.0,4.0,13.0,3.0,1.0,1.0,6.0,8.0,23.0,84.0,85.0,70.0,150.0,144.0,148.0,174.0,129.0,1.0
Coquimbo,04,Illapel,4201,32801.0,0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,6.0,21.0,14.0,18.0,19.0,30.0,0.0
Coquimbo,04,La Higuera,4104,4450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Coquimbo,04,La Serena,4101,249656.0,0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,3.0,3.0,5.0,17.0,50.0,50.0,76.0,115.0,115.0,130.0,191.0,104.0,2.0
Coquimbo,04,Los Vilos,4203,23374.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,6.0,8.0,13.0,14.0,0.0
Coquimbo,04,Monte Patria,4303,32527.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,25.0,27.0,24.0,45.0,20.0,24.0,0.0
