Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27
Arica y Parinacota,15,Arica,15101,247552.0,0,0.0,0.0,2.0,1.0,2.0,22.0,70.0,66.0,53.0,69.0,51.0,44.0,88.0,147.0,187.0,253.0,257.0,272.0,231.0,12.0
Arica y Parinacota,15,Camarones,15102,1233.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Putre,15201,2515.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Total,,252110.0,0.0,0.0,0.0,2.0,1.0,2.0,22.0,70.0,66.0,53.0,69.0,51.0,44.0,88.0,147.0,187.0,254.0,266.0,272.0,232.0,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,1107,129999.0,0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,14.0,24.0,37.0,110.0,138.0,266.0,314.0,302.0,244.0,191.0,132.0,96.0,2.0
Tarapaca,01,Camina,1402,1375.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,2.0,3.0,5.0,0.0
Tarapaca,01,Colchane,1403,1583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,17.0,15.0,11.0,0.0
Tarapaca,01,Huara,1404,3000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,10.0,6.0,7.0,7.0,4.0,4.0,5.0,0.0
Tarapaca,01,Iquique,1101,223463.0,0,0.0,0.0,0.0,0.0,9.0,7.0,14.0,11.0,21.0,42.0,104.0,258.0,401.0,499.0,449.0,440.0,434.0,385.0,200.0,7.0
Tarapaca,01,Pica,1405,5958.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,10.0,0.0,1.0,4.0,1.0,7.0,8.0,9.0,10.0,10.0,8.0,0.0
Tarapaca,01,Pozo Almonte,1401,17395.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,14.0,38.0,57.0,89.0,89.0,55.0,16.0,6.0
