Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22
Arica y Parinacota,15,Arica,15101,247552,0,0,0,2,1,2,21,70,63,53,69,51,43,85,115,21
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,0,0,0,2,1,2,21,70,63,53,69,51,43,85,115,21
,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,0,0,2,4,6,14,24,37,106,134,239,146,32
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,10,6,2
Tarapaca,01,Iquique,01101,223463,0,0,1,0,0,10,6,14,11,19,41,95,253,384,345,39
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,0,1,4,1,6,1
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,4,13,24,1
Tarapaca,01,Total,,382773,0,0,1,0,0,12,11,29,39,53,80,213,397,647,530,75
,,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,42,58,106,159,213,294,271,170,20
Antofagasta,02,Calama,02201,190336,0,1,1,1,2,3,2,7,14,16,37,47,77,153,55,0
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,0,5,9,16,42,42,29,9,1
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,75,45,45,7,0
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,0,0,0,1,3,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,0,2,3,2,1,1,3,12,2,0
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,2,0,4,5,0,1,2,7,8,1,0
Antofagasta,02,Total,,691854,0,1,2,2,4,35,35,64,100,151,244,383,473,524,247,21
,,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
