Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,422,24,21,3,7,0.85%
Tarapaca,1109,53,40,13,4,2.24%
Antofagasta,1648,59,43,16,16,3.32%
Atacama,158,1,1,0,0,0.32%
Coquimbo,239,27,21,6,2,0.48%
Valparaiso,1639,86,72,14,32,3.31%
Metropolitana,37591,3140,2802,338,318,75.82%
O'Higgins,442,24,13,11,7,0.89%
Maule,640,38,33,5,14,1.29%
Nuble,988,3,3,0,21,1.99%
Biobio,1172,28,25,3,9,2.36%
Araucania,1666,27,18,9,44,3.36%
Los  Rios,229,5,4,1,6,0.46%
Los  Lagos,656,4,2,2,12,1.32%
Aysen,8,0,0,0,0,0.02%
Magallanes,972,1,1,0,17,1.96%
Total,49579,3520,3099,421,509,100%
