Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,636,17,13,4,8,0.60%
Tarapaca,2526,165,152,13,22,2.40%
Antofagasta,2585,75,67,8,32,2.46%
Atacama,232,14,8,6,0,0.22%
Coquimbo,668,40,33,7,2,0.64%
Valparaiso,3348,181,166,15,70,3.18%
Metropolitana,85239,4735,4436,299,824,81.06%
O'Higgins,813,28,23,5,18,0.77%
Maule,1341,44,37,7,17,1.28%
Nuble,1290,33,32,1,23,1.23%
Biobio,2070,91,75,16,11,1.97%
Araucania,2111,40,34,6,47,2.01%
Los  Rios,363,7,5,2,7,0.35%
Los  Lagos,863,0,0,0,13,0.82%
Aysen,17,0,0,0,0,0.02%
Magallanes,1056,1,1,0,19,1.01%
Total,105159,5471,5082,389,1113,100%
