Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,1218,56,50,6,11,0.64%
Tarapacá,4787,114,105,9,67,2.37%
Antofagasta,5241,126,107,19,81,2.52%
Atacama,561,49,34,15,0,0.29%
Coquimbo,1980,87,74,13,12,0.96%
Valparaíso,8253,206,181,25,141,3.95%
Metropolitana,180532,3539,3257,282,3114,80.25%
O'Higgins,2797,197,184,13,41,1.28%
Maule,3386,93,77,16,24,1.73%
Ñuble,1929,53,46,7,24,1.01%
Biobío,4015,171,149,22,25,1.95%
Araucania,2815,19,18,1,36,1.48%
Los Ríos,555,8,4,4,10,0.29%
Los Lagos,1249,39,34,5,14,0.64%
Aysén,26,0,0,0,0,0.01%
Magallanes,1284,0,0,0,15,0.64%
Total,220628,4757,4320,437,3615,100%
