Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,% Total
Arica y Parinacota,1239,21,20,1,0,12,0.55%
Tarapacá,4869,82,69,13,0,68,2.16%
Antofagasta,5528,287,259,27,1,87,2.46%
Atacama,586,25,18,7,0,0,0.26%
Coquimbo,2076,96,75,20,1,15,0.92%
Valparaíso,8473,220,202,16,2,143,3.76%
Metropolitana,183553,3021,2788,207,26,3319,81.54%
O'Higgins,3017,220,205,14,1,44,1.34%
Maule,3592,206,174,32,0,25,1.60%
Ñuble,1974,45,35,10,0,24,0.88%
Biobío,4183,168,145,22,1,28,1.86%
Araucania,2864,49,40,9,0,37,1.27%
Los Ríos,567,12,9,3,0,10,0.25%
Los Lagos,1263,14,12,2,0,14,0.56%
Aysén,26,0,0,0,0,0,0.01%
Magallanes,1293,9,9,0,0,15,0.57%
Total,225103,4475,4060,383,32,3841,100%
