Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,1156,17,15,2,11,0.63%
Tarapacá,4365,107,96,11,58,2.37%
Antofagasta,4643,87,83,4,72,2.52%
Atacama,502,18,14,4,0,0.27%
Coquimbo,1720,44,35,9,10,0.93%
Valparaíso,7262,250,239,11,126,3.94%
Metropolitana,148302,4022,3623,399,2934,80.40%
O'Higgins,2221,209,195,14,35,1.20%
Maule,3189,98,80,18,23,1.73%
Ñuble,1852,20,17,3,22,1.00%
Biobío,3515,55,44,11,19,1.91%
Araucania,2775,47,39,8,36,1.50%
Los Ríos,533,4,3,1,9,0.29%
Los Lagos,1178,10,9,1,13,0.64%
Aysén,26,0,0,0,0,0.01%
Magallanes,1210,25,6,19,15,0.66%
Total,184449,5013,4498,515,3383,100%
