Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,6,245,1.91  %,3
Tarapaca,9,143,1.11  %,1
Antofagasta,25,391,3.04  %,3
Atacama,3,24,0.19  %,0
Coquimbo,1,73,0.57  %,0
Valparaiso,18,454,3.53  %,9
Metropolitana,404,7165,55.72  %,89
O'Higgins,4,85,0.66  %,1
Maule,1,350,2.72  %,10
Nuble,10,725,5.64  %,14
Biobio,13,696,5.41  %,5
Araucania,19,1203,9.36  %,27
Los  Rios,3,177,1.38  %,3
Los  Lagos,5,465,3.62  %,8
Aysen,0,7,0.05  %,0
Magallanes,31,655,5.09  %,8
Total,552,12858,100%,181
