Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,340,3,2,1,6,1.18%
Tarapaca,520,35,28,7,1,1.80%
Antofagasta,978,31,27,4,10,3.39%
Atacama,124,7,7,0,0,0.43%
Coquimbo,135,6,0,6,1,0.47%
Valparaiso,933,55,42,13,20,3.23%
Metropolitana,20353,1396,1225,171,166,70.51%
O'Higgins,195,13,8,5,3,0.68%
Maule,441,9,8,1,14,1.53%
Nuble,812,11,8,3,18,2.81%
Biobio,899,17,10,7,8,3.11%
Araucania,1454,36,22,14,37,5.04%
Los  Rios,206,0,0,0,5,0.71%
Los  Lagos,575,16,10,6,10,1.99%
Aysen,8,0,0,0,0,0.03%
Magallanes,893,12,9,3,13,3.09%
Total,28866,1647,1406,241,312,100%
