Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,9,170,1.57  %,2
Tarapaca,11,104,0.96  %,0
Antofagasta,28,291,2.69  %,1
Atacama,0,13,0.12  %,0
Coquimbo,0,69,0.64  %,0
Valparaiso,15,403,3.72  %,6
Metropolitana,145,5788,53.43  %,69
O'Higgins,1,57,0.53  %,1
Maule,12,316,2.92  %,10
Nuble,7,694,6.41  %,13
Biobio,10,636,5.87  %,4
Araucania,47,1092,10.08  %,25
Los  Rios,5,167,1.54  %,3
Los  Lagos,8,432,3.99  %,6
Aysen,0,7,0.06  %,0
Magallanes,27,593,5.47  %,7
Total,325,10832,100%,147
