Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,850,31,31,0,8,0.63%
Tarapacá,3250,156,119,37,35,2.42%
Antofagasta,3154,121,106,15,44,2.35%
Atacama,306,25,12,13,0,0.23%
Coquimbo,990,92,84,8,4,0.74%
Valparaíso,4862,282,255,27,83,3.62%
Metropolitana,108462,5268,4797,471,1884,80.85%
O'Higgins,1183,72,56,16,20,0.88%
Maule,2109,140,116,24,18,1.57%
Ñuble,1490,20,19,1,18,1.11%
Biobío,2595,105,87,18,11,1.93%
Araucania,2377,56,47,9,31,1.77%
Los Ríos,417,17,15,2,8,0.31%
Los Lagos,1003,18,14,4,12,0.75%
Aysén,20,1,1,0,0,0.01%
Magallanes,1082,1,1,0,14,0.81%
Total,134150,6405,5760,645,2190,100%
