Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,453,29,21,8,7,0.79%
Tarapaca,1246,107,99,8,4,2.16%
Antofagasta,1778,47,35,12,17,3.09%
Atacama,168,5,3,2,0,0.29%
Coquimbo,268,5,2,3,2,0.47%
Valparaiso,1887,117,101,16,38,3.28%
Metropolitana,44641,3462,3126,336,388,77.53%
O'Higgins,465,10,8,2,7,0.81%
Maule,731,51,44,7,15,1.27%
Nuble,1020,9,8,1,21,1.77%
Biobio,1263,39,32,7,9,2.19%
Araucania,1715,35,25,10,44,2.98%
Los  Rios,258,11,10,1,6,0.45%
Los  Lagos,693,27,14,13,13,1.20%
Aysen,8,0,0,0,0,0.01%
Magallanes,987,10,10,0,18,1.71%
Total,57581,3964,3538,426,589,100%
