Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,8,115,1.59  %,1
Tarapaca,8,46,0.64  %,0
Antofagasta,21,138,1.91  %,1
Atacama,0,13,0.  18  %,0
Coquimbo,2,66,0.92  %,0
Valparaiso,6,254,3.52  %,2
Metropolitana,151,3599,49.90  %,35
O'Higgins,1,46,0.64  %,0
Maule,4,138,1.91  %,3
Nuble,7,613,8.50  %,7
Biobio,10,500,6.93  %,2
Araucania,36,775,10.74  %,17
Los  Rios,5,135,1.87  %,3
Los  Lagos,8,372,5.16  %,5
Aysen,0,7,0.10  %,0
Magallanes,19,396,5.49  %,4
Total,286,7213,100%,80
