Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,16,161,1.53  %,2
Tarapaca,3,93,0.89  %,0
Antofagasta,14,263,2.50  %,1
Atacama,0,13,0.12  %,0
Coquimbo,1,69,0.66  %,0
Valparaiso,7,388,3.69  %,5
Metropolitana,262,5643,53.71  %,67
O'Higgins,1,56,0.53  %,0
Maule,2,304,2.89  %,10
Nuble,9,687,6.54  %,13
Biobio,10,626,5.96  %,3
Araucania,73,1045,9.95  %,23
Los  Rios,5,162,1.54  %,3
Los  Lagos,3,424,4.04  %,6
Aysen,0,7,0.07  %,0
Magallanes,13,566,5.39  %,6
Total,419,10507,100%,139
