Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,4,124,1.50  %,1
Tarapaca,0,62,0.75  %,0
Antofagasta,21,176,2.13  %,1
Atacama,0,13,0.16  %,0
Coquimbo,0,66,0.80  %,0
Valparaiso,14,299,3.61  %,2
Metropolitana,248,4334,52.39  %,41
O'Higgins,1,54,0.65  %,0
Maule,10,152,1.84  %,4
Nuble,12,634,7.66  %,8
Biobio,14,542,6.55  %,2
Araucania,10,826,9.98  %,21
Los  Rios,2,150,1.81  %,3
Los  Lagos,5,390,4.71  %,5
Aysen,0,7,0.08  %,0
Magallanes,15,444,5.37  %,6
Total,356,8273,100%,94
