Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,588,6,4,2,7,0.62%
Tarapaca,2250,157,124,33,18,2.37%
Antofagasta,2429,111,90,21,29,2.56%
Atacama,215,8,8,0,0,0.23%
Coquimbo,597,60,52,8,2,0.63%
Valparaiso,3037,195,169,26,63,3.20%
Metropolitana,76251,3341,3035,306,728,80.38%
O'Higgins,756,11,11,0,16,0.80%
Maule,1256,76,59,17,15,1.32%
Nuble,1256,14,7,7,23,1.32%
Biobio,1888,110,80,30,11,1.99%
Araucania,2060,71,47,24,47,2.17%
Los  Rios,345,15,12,3,6,0.36%
Los  Lagos,860,38,33,5,13,0.91%
Aysen,16,0,0,0,0,0.02%
Magallanes,1054,7,5,2,19,1.11%
Total,94858,4220,3736,484,997,100%
