Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Casos activos confirmados,Fallecidos totales,Casos confirmados recuperados,Casos probables acumulados,Casos activos probables
Arica y Parinacota,6419,44,27,14,3,551,104,5764,316,13
Tarapacá,10504,39,18,18,3,497,198,9814,746,160
Antofagasta,17784,101,66,31,4,793,432,16553,890,102
Atacama,5413,38,22,15,1,603,46,4766,72,20
Coquimbo,9551,100,84,15,1,1080,125,8350,1089,158
Valparaíso,22026,179,144,22,13,1340,665,20017,8037,541
Metropolitana,271486,468,286,140,42,4425,8431,258583,30739,839
O’Higgins,13043,69,47,22,0,730,329,12002,2529,305
Maule,11352,86,61,22,3,789,256,10317,693,27
Ñuble,4468,54,43,6,5,442,76,3952,1027,126
Biobío,16377,335,261,64,10,2040,199,14144,1937,374
Araucanía,5003,16,13,3,0,277,93,4639,44,3
Los Ríos,1079,11,9,2,0,59,15,1006,9,2
Los Lagos,6270,49,36,12,1,637,66,5567,347,41
Aysén,110,0,0,0,0,12,1,98,0,0
Magallanes,3149,147,80,64,3,829,35,2286,42,17
Se desconoce región de origen,68,3,0,0,3,4,1,64,0,0
Total,404102,1739,1197,450,92,15108,11072,377922,48517,2728
