Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,368,5,5,0,7,0.93%
Tarapaca,779,97,75,22,2,1.97%
Antofagasta,1331,54,38,16,12,3.37%
Atacama,143,3,2,1,0,0.36%
Coquimbo,180,15,5,10,1,0.46%
Valparaiso,1312,99,66,33,27,3.32%
Metropolitana,29276,2060,1793,267,221,74.04%
O'Higgins,323,28,22,6,5,0.82%
Maule,540,21,14,7,14,1.37%
Nuble,885,36,30,6,20,2.24%
Biobio,1036,41,32,9,9,2.62%
Araucania,1564,28,18,10,43,3.96%
Los  Rios,219,5,4,1,6,0.55%
Los  Lagos,641,8,6,2,11,1.62%
Aysen,8,0,0,0,0,0.02%
Magallanes,937,2,2,0,16,2.37%
Total,39542,2502,2112,390,394,100%
