Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,398,20,18,2,7,0.86%
Tarapaca,1056,81,73,8,4,2.29%
Antofagasta,1589,84,70,14,14,3.45%
Atacama,157,8,5,3,0,0.34%
Coquimbo,212,18,13,5,2,0.46%
Valparaiso,1553,79,70,9,30,3.37%
Metropolitana,34451,1767,1596,171,294,74.80%
O'Higgins,418,52,33,19,6,0.91%
Maule,602,29,23,6,14,1.31%
Nuble,985,43,37,6,21,2.14%
Biobio,1144,45,40,5,9,2.48%
Araucania,1639,33,28,5,44,3.56%
Los  Rios,224,4,3,1,6,0.49%
Los  Lagos,652,5,1,4,11,1.42%
Aysen,8,0,0,0,0,0.02%
Magallanes,971,10,8,2,16,2.11%
Total,46059,2278,2018,260,478,100%
