Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Casos activos confirmados,Fallecidos totales,Casos confirmados recuperados,Casos probables acumulados,Casos activos probables
Arica y Parinacota,6375,45,40,4,1,573,100,5702,315,13
Tarapacá,10465,38,24,9,5,536,196,9738,733,176
Antofagasta,17683,86,45,33,8,780,428,16469,897,123
Atacama,5375,28,20,8,0,660,40,4677,76,25
Coquimbo,9451,121,101,20,0,1089,119,8247,1081,167
Valparaíso,21846,141,103,31,7,1336,652,19853,8015,605
Metropolitana,271016,357,241,101,15,4553,8402,258015,30775,923
O’Higgins,12974,93,72,20,1,719,324,11949,2529,334
Maule,11267,95,73,22,0,793,254,10230,695,38
Ñuble,4414,70,47,11,12,409,75,3932,1038,144
Biobío,16042,140,103,34,3,1899,191,13958,1980,447
Araucanía,4989,27,16,3,8,282,92,4621,46,5
Los Ríos,1068,3,2,1,0,51,15,1003,12,5
Los Lagos,6221,64,49,13,2,680,66,5475,353,50
Aysén,110,4,2,2,0,12,1,98,0,0
Magallanes,3004,59,55,4,0,734,34,2237,43,19
Se desconoce región de origen,65,0,0,0,0,1,1,64,0,0
Total,402365,1371,993,316,62,15107,10990,376268,48588,3074
