Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,351,11,10,1,7,1.17%
Tarapaca,547,27,18,9,1,1.82%
Antofagasta,1014,36,32,4,10,3.37%
Atacama,133,9,5,4,0,0.44%
Coquimbo,140,5,5,0,1,0.47%
Valparaiso,970,37,29,8,21,3.23%
Metropolitana,21317,964,827,137,172,70.91%
O'Higgins,216,21,13,8,4,0.72%
Maule,454,13,9,4,14,1.51%
Nuble,814,2,1,1,18,2.71%
Biobio,932,33,12,21,8,3.10%
Araucania,1466,12,2,10,38,4.88%
Los  Rios,208,2,1,1,5,0.69%
Los  Lagos,592,17,8,9,10,1.97%
Aysen,8,0,0,0,0,0.03%
Magallanes,901,8,3,5,14,3.00%
Total,30063,1197,975,222,323,100%
