Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,1139,30,30,0,11,0.63%
Tarapacá,4258,113,90,23,58,2.37%
Antofagasta,4556,270,244,26,72,2.54%
Atacama,484,36,23,13,0,0.27%
Coquimbo,1676,120,96,24,10,0.93%
Valparaíso,7012,254,230,24,126,3.91%
Metropolitana,144280,3882,3596,286,2913,80.41%
O'Higgins,2012,85,77,8,35,1.12%
Maule,3091,94,84,10,23,1.72%
Ñuble,1832,54,49,5,22,1.02%
Biobío,3460,59,38,21,19,1.93%
Araucania,2728,53,48,5,36,1.52%
Los Ríos,529,32,18,14,9,0.29%
Los Lagos,1168,27,24,3,13,0.65%
Aysén,26,2,2,0,0,0.01%
Magallanes,1185,32,11,21,15,0.66%
Total,179436,5143,4660,483,3362,100%
