Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,279,7,2,5,4,1.74%
Tarapaca,198,15,15,0,1,1.24%
Antofagasta,546,32,27,5,5,3.41%
Atacama,43,1,1,0,0,0.27%
Coquimbo,76,0,0,0,0,0.47%
Valparaiso,559,33,28,5,12,3.49%
Metropolitana,9625,736,650,86,110,60.07%
O'Higgins,108,4,3,1,1,0.67%
Maule,393,1,0,1,13,2.45%
Nuble,768,7,7,0,14,4.79%
Biobio,727,8,6,2,7,4.54%
Araucania,1293,20,18,2,35,8.07%
Los  Rios,189,7,7,0,4,1.18%
Los  Lagos,487,6,5,1,10,3.04%
Aysen,7,0,0,0,0,0.04%
Magallanes,725,11,11,0,11,4.52%
Total,16023,888,780,108,227,100%
