Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,471,18,15,3,7,0.76%
Tarapaca,1393,147,121,26,5,2.25%
Antofagasta,1841,63,55,8,17,2.98%
Atacama,175,7,3,4,0,0.28%
Coquimbo,281,13,10,3,2,0.45%
Valparaiso,2020,133,120,13,40,3.27%
Metropolitana,48350,3709,3374,335,423,78.16%
O'Higgins,492,27,21,6,8,0.80%
Maule,782,51,50,1,15,1.26%
Nuble,1025,5,5,0,21,1.66%
Biobio,1311,48,43,5,10,2.12%
Araucania,1737,22,22,0,45,2.81%
Los  Rios,262,4,4,0,6,0.42%
Los  Lagos,717,24,15,9,13,1.16%
Aysen,8,0,0,0,0,0.01%
Magallanes,992,5,5,0,18,1.60%
Total,61857,4276,3863,413,630,100%
