Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Casos activos confirmados,Fallecidos totales,Casos confirmados recuperados,Casos probables acumulados ,Casos activos probables 
Arica y Parinacota,2273,94,82,12,0,543,24,1706,88,33
Tarapacá,6867,78,40,31,7,773,107,6026,217,86
Antofagasta,11077,252,210,34,8,1766,203,9008,536,163
Atacama,1429,72,54,17,1,376,7,1036,63,31
Coquimbo,3779,91,63,13,15,710,29,3042,461,135
Valparaíso,13797,199,173,15,11,1721,312,11615,4205,953
Metropolitana,233845,1687,1262,191,234,13485,5610,214856,27180,3825
O'Higgins,7761,194,148,33,13,1567,109,6156,1415,463
Maule,6700,119,107,10,2,1103,81,5496,552,206
Ñuble,2782,82,51,27,4,397,36,2335,575,151
Biobío,7980,164,126,31,7,1344,67,6593,1072,338
Araucania,3505,23,21,1,1,260,47,3185,51,17
Los Ríos,753,13,6,7,0,65,11,678,10,5
Los Lagos,2099,52,48,1,3,417,22,1653,202,111
Aysén,49,0,0,0,0,9,0,40,0,0
Magallanes,1520,13,4,9,0,75,17,1426,13,1
Se desconoce región de origen,0,0,0,0,0,1,0,71,0,0
Total,306216,3133,2395,432,306,24612,6682,274922,36640,6518
