Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,8,142,1.46  %,2
Tarapaca,8,81,0.83  %,0
Antofagasta,15,226,2.32  %,1
Atacama,0,13,0.13  %,0
Coquimbo,0,68,0.70  %,0
Valparaiso,14,359,3.69%,4
Metropolitana,277,5192,53.36  %,58
O'Higgins,0,55,0.57  %,0
Maule,53,276,2.84  %,8
Nuble,11,667,6.86  %,12
Biobio,28,606,6.23  %,3
Araucania,37,944,9.70  %,23
Los  Rios,2,156,1.60  %,3
Los  Lagos,4,416,4.28  %,6
Aysen,0,7,0.07  %,0
Magallanes,21,522,5.36  %,6
Total,478,9730,100%,126
