Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,482,11,9,2,7,0.74%
Tarapaca,1471,78,68,10,5,2.25%
Antofagasta,1897,56,52,4,21,2.90%
Atacama,182,7,6,1,0,0.28%
Coquimbo,294,13,12,1,2,0.45%
Valparaiso,2116,96,87,9,44,3.24%
Metropolitana,51399,3049,2812,237,455,78.60%
O'Higgins,518,26,20,6,11,0.79%
Maule,823,41,37,4,15,1.26%
Nuble,1077,52,45,7,21,1.65%
Biobio,1354,43,39,4,10,2.07%
Araucania,1774,37,30,7,45,2.71%
Los  Rios,274,12,10,2,6,0.42%
Los  Lagos,727,10,5,5,13,1.11%
Aysen,8,0,0,0,0,0.01%
Magallanes,997,5,5,0,18,1.52%
Total,65393,3536,3237,299,673,100%
