Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,351,0,0,0,7,1.11%
Tarapaca,578,31,23,8,1,1.82%
Antofagasta,1109,95,89,6,10,3.50%
Atacama,134,1,1,0,0,0.42%
Coquimbo,148,8,4,4,1,0.47%
Valparaiso,1029,59,54,5,23,3.24%
Metropolitana,22709,1392,1260,132,178,71.59%
O'Higgins,224,8,7,1,4,0.71%
Maule,466,12,8,4,14,1.47%
Nuble,826,12,12,0,19,2.60%
Biobio,942,10,0,10,9,2.97%
Araucania,1482,16,14,2,39,4.67%
Los  Rios,211,3,3,0,5,0.67%
Los  Lagos,594,2,2,0,11,1.87%
Aysen,8,0,0,0,0,0.03%
Magallanes,910,9,2,7,14,2.87%
Total,31721,1658,1479,179,335,100%
