Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,1011,44,39,5,10,0.63%
Tarapacá,3823,127,91,36,48,2.38%
Antofagasta,3885,132,119,13,65,2.42%
Atacama,413,24,20,4,0,0.26%
Coquimbo,1438,93,79,14,7,0.89%
Valparaíso,6171,306,284,22,118,3.84%
Metropolitana,129694,5559,5174,385,2468,80.63%
O'Higgins,1629,77,72,5,30,1.01%
Maule,2691,131,116,15,19,1.67%
Ñuble,1718,45,42,3,20,1.07%
Biobío,3103,129,114,15,14,1.93%
Araucania,2579,44,35,9,35,1.60%
Los Ríos,479,17,14,3,9,0.30%
Los Lagos,1083,21,14,7,12,0.67%
Aysén,22,0,0,0,0,0.01%
Magallanes,1107,5,4,1,15,0.69%
Total,160846,6754,6217,537,2870,100%
