Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Casos activos confirmados,Fallecidos totales,Casos confirmados recuperados,Casos probables acumulados ,Casos activos probables 
Arica y Parinacota,2936,96,92,1,3,763,34,2141,147,73
Tarapacá,7451,98,64,21,13,658,139,6660,228,61
Antofagasta,12716,216,171,35,10,1601,271,10844,588,122
Atacama,1736,2,1,1,0,379,9,1347,43,28
Coquimbo,4486,125,82,39,4,757,49,3682,556,134
Valparaíso,15261,193,141,34,18,1592,407,13260,4685,813
Metropolitana,244073,1501,1104,297,100,10494,6858,226678,29219,2579
O'Higgins,9163,176,152,20,4,1410,164,7602,1688,360
Maule,7603,141,103,37,1,1042,125,6446,637,149
Ñuble,3095,15,5,9,1,426,52,2619,782,254
Biobío,9150,156,123,20,13,1294,95,7765,1186,230
Araucania,3687,21,11,10,0,215,71,3402,56,19
Los Ríos,820,24,21,3,0,86,13,722,13,6
Los Lagos,2629,65,50,12,3,539,30,2062,211,89
Aysén,69,8,3,5,0,23,1,46,0,0
Magallanes,1592,3,2,1,0,99,28,1466,17,5
Se desconoce región de origen,72,0,0,0,0,0,1,72,0,0
Total,326539,2840,2125,545,170,21378,8347,296814,40056,4922
