Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,736,35,31,4,8,0.62%
Tarapacá,2810,128,108,20,28,2.38%
Antofagasta,2862,146,129,17,38,2.42%
Atacama,258,16,15,1,0,0.22%
Coquimbo,772,54,44,10,4,0.65%
Valparaíso,4017,248,233,15,78,3.40%
Metropolitana,95890,3699,3327,372,1034,81.06%
O'Higgins,967,36,32,4,21,0.82%
Maule,1732,137,117,20,21,1.46%
Ñuble,1372,43,36,7,24,1.16%
Biobío,2301,86,68,18,13,1.95%
Araucania,2182,9,6,3,47,1.84%
Los Ríos,379,7,6,1,8,0.32%
Los Lagos,926,13,13,0,13,0.78%
Aysén,19,1,1,0,0,0.02%
Magallanes,1069,6,6,0,19,0.90%
Total,118292,4664,4172,492,1356,100%
