Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,701,47,43,4,8,0.62%
Tarapacá,2682,88,76,12,28,2.36%
Antofagasta,2716,67,61,6,36,2.39%
Atacama,242,6,6,0,0,0.21%
Coquimbo,718,31,29,2,4,0.63%
Valparaíso,3769,174,151,23,77,3.32%
Metropolitana,92191,3997,3707,290,961,81.13%
O'Higgins,931,88,85,3,20,0.82%
Maule,1595,214,181,33,19,1.40%
Ñuble,1329,39,30,9,24,1.17%
Biobío,2215,133,118,15,11,1.95%
Araucania,2173,32,29,3,47,1.91%
Los Ríos,372,4,4,0,8,0.33%
Los Lagos,913,19,14,5,13,0.80%
Aysén,18,0,0,0,0,0.02%
Magallanes,1063,3,3,0,19,0.94%
Total,113628,4942,4537,405,1275,100%
