Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,424,2,2,0,7,0.79%
Tarapaca,1139,30,28,2,4,2.12%
Antofagasta,1731,83,51,32,17,3.23%
Atacama,163,5,3,2,0,0.30%
Coquimbo,263,24,13,11,2,0.49%
Valparaiso,1770,131,107,24,35,3.30%
Metropolitana,41179,3588,3298,290,348,76.80%
O'Higgins,455,13,11,2,7,0.85%
Maule,680,40,29,11,14,1.27%
Nuble,1011,23,20,3,21,1.89%
Biobio,1224,52,43,9,9,2.28%
Araucania,1680,14,10,4,44,3.13%
Los  Rios,247,18,17,1,6,0.46%
Los  Lagos,666,10,10,0,12,1.24%
Aysen,8,0,0,0,0,0.01%
Magallanes,977,5,5,0,18,1.82%
Total,53617,4038,3647,391,544,100%
