Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,% Total
Arica y Parinacota,1295,56,52,4,0,12,0.56%
Tarapacá,4995,126,108,14,4,71,2.16%
Antofagasta,5828,300,256,33,11,93,2.52%
Atacama,623,37,25,12,0,0,0.27%
Coquimbo,2195,119,99,9,11,16,0.95%
Valparaíso,8758,285,239,21,25,150,3.78%
Metropolitana,187974,4421,3518,367,536,3545,81.24%
O'Higgins,3311,294,233,12,49,46,1.43%
Maule,3807,215,173,37,5,27,1.65%
Ñuble,2103,129,84,41,4,25,0.91%
Biobío,4401,218,160,29,29,31,1.90%
Araucania,2897,33,23,9,1,38,1.25%
Los Ríos,579,12,10,2,0,10,0.25%
Los Lagos,1298,35,31,4,0,14,0.56%
Aysén,27,1,1,0,0,0,0.01%
Magallanes,1302,9,4,5,0,15,0.56%
Total,231393,6290,5016,599,675,4093,100%
