Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,337,10,8,2,6,1.24%
Tarapaca,485,26,25,1,1,1.78%
Antofagasta,947,24,19,5,10,3.48%
Atacama,117,29,20,9,0,0.43%
Coquimbo,129,18,12,6,0,0.47%
Valparaiso,878,50,43,7,19,3.23%
Metropolitana,18957,978,789,189,163,69.65%
O'Higgins,182,15,13,2,3,0.67%
Maule,432,7,6,1,14,1.59%
Nuble,801,7,5,2,18,2.94%
Biobio,882,40,31,9,8,3.24%
Araucania,1418,15,15,0,36,5.21%
Los  Rios,206,3,1,2,5,0.76%
Los  Lagos,559,11,7,4,10,2.05%
Aysen,8,0,0,0,0,0.03%
Magallanes,881,14,10,4,11,3.24%
Total,27219,1247,1004,243,304,100%
