Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,5,129,1.46  %,1
Tarapaca,4,66,0.75  %,0
Antofagasta,16,192,2.18  %,1
Atacama,0,13,0.15  %,0
Coquimbo,2,68,0.77  %,0
Valparaiso,31,330,3.75  %,4
Metropolitana,348,4682,53.16  %,48
O'Higgins,0,54,0.61  %,0
Maule,15,167,1.90  %,4
Nuble,5,639,7.26  %,10
Biobio,17,559,6.35  %,2
Araucania,56,882,10.01  %,21
Los  Rios,3,153,1.74  %,3
Los  Lagos,9,399,4.53  %,5
Aysen,0,7,0.08  %,0
Magallanes,23,467,5.30  %,6
Total,534,8807,100%,105

