Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,325,7,6,1,6,1.32%
Tarapaca,417,78,38,40,1,1.70%
Antofagasta,895,40,31,9,7,3.64%
Atacama,87,7,1,6,0,0.35%
Coquimbo,100,3,1,2,0,0.41%
Valparaiso,781,65,61,4,17,3.18%
Metropolitana,16828,1246,1149,97,152,68.46%
O'Higgins,151,6,6,0,3,0.61%
Maule,414,6,6,0,13,1.68%
Nuble,793,2,1,1,17,3.23%
Biobio,814,25,18,7,8,3.31%
Araucania,1385,23,7,16,36,5.63%
Los  Rios,202,2,2,0,4,0.82%
Los  Lagos,545,4,0,4,10,2.22%
Aysen,8,1,1,0,0,0.03%
Magallanes,836,18,15,3,11,3.40%
Total,24581,1533,1343,190,285,100%
