Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,Casos activos confirmados
Arica y Parinacota,1649,38,28,9,1,20,371
Tarapacá,5893,122,101,16,5,91,821
Antofagasta,8308,281,249,27,5,147,1692
Atacama,956,31,27,4,0,2,293
Coquimbo,2857,76,67,5,4,23,668
Valparaíso,11307,253,214,23,16,229,2093
Metropolitana,214388,2569,2048,193,328,4711,21667
O'Higgins,5606,284,244,31,9,69,2077
Maule,5322,140,112,14,14,48,1377
Ñuble,2363,46,33,9,4,32,381
Biobío,6398,259,189,40,30,50,2025
Araucania,3172,44,35,9,0,41,260
Los Ríos,678,19,15,4,0,10,94
Los Lagos,1609,36,28,7,1,21,295
Aysén,41,6,1,5,0,0,14
Magallanes,1435,12,5,6,1,15,135
Total,271982,4216,3396,402,418,5509,34263
