Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,378,1,1,0,7,0.86%
Tarapaca,975,130,108,22,4,2.23%
Antofagasta,1505,76,60,16,13,3.44%
Atacama,149,3,2,1,0,0.34%
Coquimbo,194,7,1,6,2,0.44%
Valparaiso,1474,109,85,24,29,3.37%
Metropolitana,32684,1890,1671,219,270,74.65%
O'Higgins,366,37,22,15,5,0.84%
Maule,573,22,17,5,14,1.31%
Nuble,942,21,14,7,20,2.15%
Biobio,1099,25,19,6,9,2.51%
Araucania,1606,19,13,6,44,3.67%
Los  Rios,220,1,1,0,6,0.50%
Los  Lagos,647,3,2,1,11,1.48%
Aysen,8,0,0,0,0,0.02%
Magallanes,961,9,8,1,16,2.20%
Total,43781,2353,2024,329,450,100%
