Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,522,9,8,1,7,0.67%
Tarapaca,1737,107,97,10,8,2.23%
Antofagasta,2063,48,44,4,23,2.65%
Atacama,188,3,2,1,0,0.24%
Coquimbo,384,46,37,9,2,0.49%
Valparaiso,2455,150,133,17,57,3.15%
Metropolitana,62285,3355,3074,281,567,79.89%
O'Higgins,654,66,59,7,13,0.84%
Maule,1013,60,60,0,15,1.30%
Nuble,1147,8,8,0,22,1.47%
Biobio,1502,44,40,4,10,1.93%
Araucania,1883,26,21,5,45,2.42%
Los  Rios,304,7,7,0,6,0.39%
Los  Lagos,781,18,14,4,13,1.00%
Aysen,12,2,2,0,0,0.02%
Magallanes,1031,15,12,3,18,1.32%
Total,77961,3964,3618,346,806,100%
