Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,874,24,17,7,8,0.63%
Tarapacá,3392,142,133,9,35,2.44%
Antofagasta,3245,91,80,11,45,2.34%
Atacama,339,33,24,9,0,0.24%
Coquimbo,1123,133,120,13,5,0.81%
Valparaíso,5149,287,247,40,85,3.71%
Metropolitana,112136,3674,3349,325,1950,80.76%
O'Higgins,1255,72,64,8,22,0.90%
Maule,2176,67,51,16,18,1.57%
Ñuble,1552,62,58,4,18,1.12%
Biobío,2651,56,51,5,11,1.91%
Araucania,2410,33,26,7,32,1.74%
Los Ríos,425,8,4,4,8,0.31%
Los Lagos,1010,7,7,0,12,0.73%
Aysén,21,1,0,1,0,0.02%
Magallanes,1088,6,6,0,15,0.78%
Total,138846,4696,4237,459,2264,100%
