Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,363,4,4,0,7,0.98%
Tarapaca,682,67,51,16,1,1.84%
Antofagasta,1277,61,48,13,11,3.45%
Atacama,140,1,0,1,0,0.38%
Coquimbo,165,12,3,9,1,0.45%
Valparaiso,1213,90,69,21,25,3.27%
Metropolitana,27216,2251,1994,257,202,73.48%
O'Higgins,295,47,33,14,4,0.80%
Maule,519,34,24,10,14,1.40%
Nuble,849,10,10,0,20,2.29%
Biobio,995,20,14,6,9,2.69%
Araucania,1536,41,36,5,41,4.15%
Los  Rios,214,2,2,0,6,0.58%
Los  Lagos,633,5,0,5,11,1.71%
Aysen,8,0,0,0,0,0.02%
Magallanes,935,14,13,1,16,2.52%
Total,37040,2659,2301,358,368,100%
