Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,5,134,1.45  %,2
Tarapaca,7,73,0.79  %,0
Antofagasta,19,211,2.28  %,1
Atacama,0,13,0.14  %,0
Coquimbo,0,68,0.73  %,0
Valparaiso,15,345,3.73  %,4
Metropolitana,233,4915,53.12  %,51
O'Higgins,1,55,0.59  %,0
Maule,56,223,2.41  %,7
Nuble,17,656,7.09  %,11
Biobio,19,578,6.25  %,3
Araucania,25,907,9.80  %,22
Los  Rios,1,154,1.66  %,3
Los  Lagos,13,412,4.45  %,6
Aysen,0,7,0.08  %,0
Magallanes,34,501,5.42  %,6
Total,445,9252,100%,116
