Region,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas,Casos  totales  acumulados,%  Total,Fallecidos,Tasa  *100000,Incremento  diario,Casos nuevos totales
Arica y Parinacota,4,0,272,183%,4,107.89,1.47%,4
Tarapaca,14,0,183,123%,1,47.81,7.65%,14
Antofagasta,33,0,514,345%,4,74.29,6.42%,33
Atacama,7,0,42,0.28%,0,13.35,16.67%,7
Coquimbo,2,0,76,0.51%,0,9.09,2.63%,2
Valparaiso,33,0,526,353%,12,26.83,6.27%,33
Metropolitana,339,250,8889,58.04%,104,106.33,3.92%,589
O'Higgins,7,0,104,0.70%,1,10.49,6.73%,7
Maule,8,0,392,263%,13,34.63,2.04%,8
Nuble,14,0,761,5.11%,14,148.76,1.84%,14
Biobio,10,0,719,4.83%,7,43.22,1.39%,10
Araucania,22,0,1273,8.55%,32,125.50,1.73%,22
Los Rios,2,0,182,1.22%,4,44.85,1.10%,2
Los Lagos,4,0,481,3.23%,9,53.96,0.83%,4
Aysen,0,0,7,0.05%,0,6.52,0.00%,0
Magallanes,21,0,714,4.80%,11,400.31,2.94%,21
Total,520,250,15135,100%,216,76.50,3.49%,770
