Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,Casos activos confirmados
Arica y Parinacota,1473,30,23,6,1,15,356
Tarapacá,5504,62,51,11,0,84,862
Antofagasta,7227,236,202,31,3,113,1670
Atacama,785,38,30,6,2,2,259
Coquimbo,2539,54,35,5,14,18,630
Valparaíso,10187,286,258,18,10,187,2005
Metropolitana,203211,2350,1916,141,293,4065,22732
O'Higgins,4610,249,213,10,26,59,1782
Maule,4657,153,134,16,3,36,1262
Ñuble,2219,24,20,4,0,29,400
Biobío,5464,136,109,15,12,40,1788
Araucania,3037,10,9,1,0,40,279
Los Ríos,629,4,4,0,0,10,112
Los Lagos,1483,17,16,0,1,18,286
Aysén,28,0,0,0,0,0,4
Magallanes,1363,0,0,0,0,15,165
Total,254416,3649,3020,264,365,4731,34592
