Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,3,145,1.44  %,2
Tarapaca,9,90,0.89  %,0
Antofagasta,23,249,2.47  %,1
Atacama,0,13,0.13  %,0
Coquimbo,0,68,0.67  %,0
Valparaiso,22,381,3.78%,5
Metropolitana,189,5381,53.34  %,63
O'Higgins,0,55,0.55  %,0
Maule,26,302,2.99  %,8
Nuble,11,678,6.72  %,13
Biobio,10,616,6.11  %,3
Araucania,28,972,9.64  %,23
Los  Rios,1,157,1.56  %,3
Los  Lagos,5,421,4.17  %,6
Aysen,0,7,0.07  %,0
Magallanes,31,553,5.48  %,6
Total,358,10088,100%,133
